Date,Time,Temperature (deg. C),Humidity (%)
1-Jun-23,0:00:50,16.03382,37.35371
1-Jun-23,0:05:50,15.56635,39.10375
1-Jun-23,0:10:50,15.36117,41.95249
1-Jun-23,0:15:50,15.2825,41.94491
1-Jun-23,0:20:50,14.92279,42.85378
1-Jun-23,0:25:50,14.92875,43.18299
1-Jun-23,0:30:50,15.2981,42.45912
1-Jun-23,0:35:50,15.23432,42.10644
1-Jun-23,0:40:50,15.14181,41.72343
1-Jun-23,0:45:50,14.66365,41.2318
1-Jun-23,0:50:50,14.48545,42.60159
1-Jun-23,0:55:50,14.41414,42.96872
1-Jun-23,1:00:50,15.25394,38.7369
1-Jun-23,1:05:50,15.30213,39.51115
1-Jun-23,1:10:50,15.02143,39.26594
1-Jun-23,1:15:50,15.01845,39.14875
1-Jun-23,1:20:50,15.14689,38.66514
1-Jun-23,1:25:50,15.08889,38.04077
1-Jun-23,1:30:50,15.17842,36.91845
1-Jun-23,1:35:50,15.42898,35.54257
1-Jun-23,1:40:50,15.52693,35.165
1-Jun-23,1:45:50,15.1786,36.14408
1-Jun-23,1:50:50,15.05578,36.27287
1-Jun-23,1:55:50,15.02967,36.6784
1-Jun-23,2:00:50,15.04193,36.1509
1-Jun-23,2:05:50,14.72182,36.21892
1-Jun-23,2:10:50,14.9368,35.94805
1-Jun-23,2:15:50,14.99498,35.69806
1-Jun-23,2:20:50,14.52365,37.13525
1-Jun-23,2:25:50,14.4236,38.06198
1-Jun-23,2:30:50,14.74512,37.27459
1-Jun-23,2:35:50,14.65944,37.97638
1-Jun-23,2:40:50,14.69308,37.51535
1-Jun-23,2:45:50,14.60355,38.39032
1-Jun-23,2:50:50,14.18198,40.35365
1-Jun-23,2:55:50,14.17813,41.10032
1-Jun-23,3:00:50,14.17147,40.37453
1-Jun-23,3:05:50,13.69051,40.75808
1-Jun-23,3:10:50,13.64951,41.02033
1-Jun-23,3:15:50,13.95,40.73298
1-Jun-23,3:20:50,13.61587,41.07258
1-Jun-23,3:25:50,13.31695,43.08887
1-Jun-23,3:30:50,13.75254,43.15223
1-Jun-23,3:35:50,14.03656,42.46252
1-Jun-23,3:40:50,13.87641,42.41533
1-Jun-23,3:45:50,13.49953,43.15843
1-Jun-23,3:50:50,13.46133,43.7283
1-Jun-23,3:55:50,13.35112,44.35718
1-Jun-23,4:00:50,13.01979,45.24308
1-Jun-23,4:05:50,12.86631,46.81044
1-Jun-23,4:10:50,12.69092,47.26834
1-Jun-23,4:15:50,12.62083,47.44597
1-Jun-23,4:20:50,12.4747,47.17213
1-Jun-23,4:25:50,12.27461,47.88568
1-Jun-23,4:30:50,12.29003,48.43472
1-Jun-23,4:35:50,12.6797,48.6356
1-Jun-23,4:40:50,12.45911,48.6657
1-Jun-23,4:45:50,12.34347,49.3714
1-Jun-23,4:50:50,12.2846,49.49166
1-Jun-23,4:55:50,12.44229,49.33826
1-Jun-23,5:00:50,12.42985,48.38692
1-Jun-23,5:05:50,12.80621,47.26372
1-Jun-23,5:10:50,13.04783,45.36
1-Jun-23,5:15:50,13.53071,44.82002
1-Jun-23,5:20:50,14.01798,42.70702
1-Jun-23,5:25:50,13.73694,42.29687
1-Jun-23,5:30:50,13.53597,42.87053
1-Jun-23,5:35:50,12.9646,48.0171
1-Jun-23,5:40:50,12.73998,48.64439
1-Jun-23,5:45:50,12.58263,48.99652
1-Jun-23,5:50:50,12.62872,49.3632
1-Jun-23,5:55:50,12.45508,51.6034
1-Jun-23,6:00:50,12.23536,51.48396
1-Jun-23,6:05:50,11.97201,52.06816
1-Jun-23,6:10:50,11.78138,52.62238
1-Jun-23,6:15:50,11.99935,53.27318
1-Jun-23,6:20:50,12.15161,52.90506
