"Date","Time","Temperature (deg. C)","Humidity (%)"
"July 13, 2023","00:00:10",23.90004,24.67162
"July 13, 2023","00:05:10",23.87568,25.34731
"July 13, 2023","00:10:10",22.87521,26.10025
"July 13, 2023","00:15:10",23.07811,27.41113
"July 13, 2023","00:20:10",22.75659,27.36734
"July 13, 2023","00:25:10",22.67319,26.31084
"July 13, 2023","00:30:10",22.63342,27.47481
"July 13, 2023","00:35:10",22.10620,27.41069
"July 13, 2023","00:40:10",22.16700,25.10023
"July 13, 2023","00:45:10",21.83900,30.81621
"July 13, 2023","00:50:10",21.46650,31.95282
"July 13, 2023","00:55:10",21.07892,32.74427
"July 13, 2023","01:00:10",21.03810,34.18729
"July 13, 2023","01:05:10",21.14463,34.35904
"July 13, 2023","01:10:10",20.77230,33.73423
"July 13, 2023","01:15:10",20.83888,34.04482
"July 13, 2023","01:20:10",21.58932,32.40697
"July 13, 2023","01:25:10",21.21121,32.19281
"July 13, 2023","01:30:10",20.93419,32.81218
"July 13, 2023","01:35:10",21.39974,32.36665
"July 13, 2023","01:40:10",21.18966,32.65818
"July 13, 2023","01:45:10",21.35331,33.67368
"July 13, 2023","01:50:10",21.16250,33.89384
"July 13, 2023","01:55:10",21.02058,32.99135
"July 13, 2023","02:00:10",21.44932,30.44073
"July 13, 2023","02:05:10",20.87199,34.08257
"July 13, 2023","02:10:10",20.32796,34.20745
"July 13, 2023","02:15:10",20.25507,33.16914
"July 13, 2023","02:20:10",20.14661,33.24035
"July 13, 2023","02:25:10",20.47566,32.16083
"July 13, 2023","02:30:10",20.37141,32.36560
"July 13, 2023","02:35:10",20.99412,29.10820
"July 13, 2023","02:40:10",21.36960,27.83188
"July 13, 2023","02:45:10",21.42252,27.55849
"July 13, 2023","02:50:10",20.22160,31.32076
"July 13, 2023","02:55:10",19.65916,33.71648
"July 13, 2023","03:00:10",19.93057,34.60942
"July 13, 2023","03:05:10",19.73223,35.07517
"July 13, 2023","03:10:10",19.97087,34.29366
"July 13, 2023","03:15:10",19.85190,34.91825
"July 13, 2023","03:20:10",19.84349,35.59240
"July 13, 2023","03:25:10",19.89711,35.92420
"July 13, 2023","03:30:10",19.52846,35.76163
"July 13, 2023","03:35:10",19.07570,36.01140
"July 13, 2023","03:40:10",19.67791,34.32734
"July 13, 2023","03:45:10",19.88957,34.18856
"July 13, 2023","03:50:10",19.46450,35.29928
"July 13, 2023","03:55:10",19.17242,36.50050
"July 13, 2023","04:00:10",19.07886,36.82417
"July 13, 2023","04:05:10",18.75051,38.40444
"July 13, 2023","04:10:10",18.92081,38.65036
"July 13, 2023","04:15:10",18.93361,38.20736
"July 13, 2023","04:20:10",18.82743,40.31981
"July 13, 2023","04:25:10",19.16349,39.12144
"July 13, 2023","04:30:10",18.95989,38.57850
"July 13, 2023","04:35:10",19.87520,36.05947
"July 13, 2023","04:40:10",20.75180,32.68867
"July 13, 2023","04:45:10",21.07016,30.69001
"July 13, 2023","04:50:10",19.92251,35.93156
"July 13, 2023","04:55:10",19.28596,37.16734
"July 13, 2023","05:00:10",18.82392,38.93079
"July 13, 2023","05:05:10",18.89926,39.05463
"July 13, 2023","05:10:10",18.59369,39.53692
"July 13, 2023","05:15:10",18.81253,38.83612
"July 13, 2023","05:20:10",18.82007,39.19430
"July 13, 2023","05:25:10",18.64538,39.25990
"July 13, 2023","05:30:10",18.44406,38.80755
"July 13, 2023","05:35:10",18.04037,40.26354
"July 13, 2023","05:40:10",18.50976,39.48247
"July 13, 2023","05:45:10",18.72510,38.45114
"July 13, 2023","05:50:10",18.51975,37.60557
"July 13, 2023","05:55:10",18.33472,35.00742
"July 13, 2023","06:00:10",18.18632,35.56845
"July 13, 2023","06:05:10",17.71657,38.08610
"July 13, 2023","06:10:10",17.80207,37.49469
"July 13, 2023","06:15:10",17.70606,38.40312
"July 13, 2023","06:20:10",17.69887,36.91054
"July 13, 2023","06:25:10",17.98132,36.18315
"July 13, 2023","06:30:10",17.95188,36.81466
