"STATION","NAME","DATE","TMAX"
"USC00427064","PROVO BYU, UT US","2022-01-01","28"
"USC00427064","PROVO BYU, UT US","2022-01-02","25"
"USC00427064","PROVO BYU, UT US","2022-01-03","38"
"USC00427064","PROVO BYU, UT US","2022-01-04","44"
"USC00427064","PROVO BYU, UT US","2022-01-05","43"
"USC00427064","PROVO BYU, UT US","2022-01-06","54"
"USC00427064","PROVO BYU, UT US","2022-01-07","60"
"USC00427064","PROVO BYU, UT US","2022-01-08","60"
"USC00427064","PROVO BYU, UT US","2022-01-09","41"
"USC00427064","PROVO BYU, UT US","2022-01-10","43"
"USC00427064","PROVO BYU, UT US","2022-01-11","41"
"USC00427064","PROVO BYU, UT US","2022-01-12","45"
"USC00427064","PROVO BYU, UT US","2022-01-13","45"
"USC00427064","PROVO BYU, UT US","2022-01-14","43"
"USC00427064","PROVO BYU, UT US","2022-01-15","43"
"USC00427064","PROVO BYU, UT US","2022-01-16","44"
"USC00427064","PROVO BYU, UT US","2022-01-17","43"
"USC00427064","PROVO BYU, UT US","2022-01-18","44"
"USC00427064","PROVO BYU, UT US","2022-01-19","43"
"USC00427064","PROVO BYU, UT US","2022-01-20","42"
"USC00427064","PROVO BYU, UT US","2022-01-21","43"
"USC00427064","PROVO BYU, UT US","2022-01-22","41"
"USC00427064","PROVO BYU, UT US","2022-01-23","40"
"USC00427064","PROVO BYU, UT US","2022-01-24","45"
"USC00427064","PROVO BYU, UT US","2022-01-25","39"
"USC00427064","PROVO BYU, UT US","2022-01-26","41"
"USC00427064","PROVO BYU, UT US","2022-01-27","40"
"USC00427064","PROVO BYU, UT US","2022-01-28","42"
"USC00427064","PROVO BYU, UT US","2022-01-29","44"
"USC00427064","PROVO BYU, UT US","2022-01-30","44"
"USC00427064","PROVO BYU, UT US","2022-01-31","51"
"USC00427064","PROVO BYU, UT US","2022-02-01","40"
"USC00427064","PROVO BYU, UT US","2022-02-02","31"
"USC00427064","PROVO BYU, UT US","2022-02-03","31"
"USC00427064","PROVO BYU, UT US","2022-02-04","38"
"USC00427064","PROVO BYU, UT US","2022-02-05","45"
