"L602168-1","047","WILDFIRE STUDY","","13-JUL-23","15-AUG-23","08/16/2023 17:42","2 Trtd 37mm GFF","mod. OSHA ID-214; IC","OZONE","667.91176","","AIR VOLUME LITER","10028-15-6"
"L602168-1","047","WILDFIRE STUDY","","13-JUL-23","15-AUG-23","08/16/2023 17:42","2 Trtd 37mm GFF","mod. OSHA ID-214; IC","OZONE","33.","","FRONT UG","10028-15-6"
"L602168-1","047","WILDFIRE STUDY","","13-JUL-23","15-AUG-23","08/16/2023 17:42","2 Trtd 37mm GFF","mod. OSHA ID-214; IC","OZONE","6.6","","BACK UG","10028-15-6"
"L602168-1","047","WILDFIRE STUDY","","13-JUL-23","15-AUG-23","08/16/2023 17:42","2 Trtd 37mm GFF","mod. OSHA ID-214; IC","OZONE","*40.","","TOTAL UG","10028-15-6"
"L602168-1","047","WILDFIRE STUDY","","13-JUL-23","15-AUG-23","08/16/2023 17:42","2 Trtd 37mm GFF","mod. OSHA ID-214; IC","OZONE","*0.060","","CONC MG/M3","10028-15-6"
"L602168-1","047","WILDFIRE STUDY","","13-JUL-23","15-AUG-23","08/16/2023 17:42","2 Trtd 37mm GFF","mod. OSHA ID-214; IC","OZONE","*0.030","","PPM PPM","10028-15-6"
"L602168-2","048","WILDFIRE STUDY","","13-JUL-23","15-AUG-23","08/16/2023 18:11","2 Trtd 37mm GFF","mod. OSHA ID-214; IC","OZONE","683.54045","","AIR VOLUME LITER","10028-15-6"
"L602168-2","048","WILDFIRE STUDY","","13-JUL-23","15-AUG-23","08/16/2023 18:11","2 Trtd 37mm GFF","mod. OSHA ID-214; IC","OZONE","30.","","FRONT UG","10028-15-6"
"L602168-2","048","WILDFIRE STUDY","","13-JUL-23","15-AUG-23","08/16/2023 18:11","2 Trtd 37mm GFF","mod. OSHA ID-214; IC","OZONE","4.0","<","BACK UG","10028-15-6"
"L602168-2","048","WILDFIRE STUDY","","13-JUL-23","15-AUG-23","08/16/2023 18:11","2 Trtd 37mm GFF","mod. OSHA ID-214; IC","OZONE","30.","","TOTAL UG","10028-15-6"
"L602168-2","048","WILDFIRE STUDY","","13-JUL-23","15-AUG-23","08/16/2023 18:11","2 Trtd 37mm GFF","mod. OSHA ID-214; IC","OZONE","0.043","","CONC MG/M3","10028-15-6"
"L602168-2","048","WILDFIRE STUDY","","13-JUL-23","15-AUG-23","08/16/2023 18:11","2 Trtd 37mm GFF","mod. OSHA ID-214; IC","OZONE","0.022","","PPM PPM","10028-15-6"
"L602168-3","049","WILDFIRE STUDY","","13-JUL-23","15-AUG-23","08/16/2023 18:39","2 Trtd 37mm GFF","mod. OSHA ID-214; IC","OZONE","692.79132","","AIR VOLUME LITER","10028-15-6"
"L602168-3","049","WILDFIRE STUDY","","13-JUL-23","15-AUG-23","08/16/2023 18:39","2 Trtd 37mm GFF","mod. OSHA ID-214; IC","OZONE","26.","","FRONT UG","10028-15-6"
"L602168-3","049","WILDFIRE STUDY","","13-JUL-23","15-AUG-23","08/16/2023 18:39","2 Trtd 37mm GFF","mod. OSHA ID-214; IC","OZONE","4.0","<","BACK UG","10028-15-6"
"L602168-3","049","WILDFIRE STUDY","","13-JUL-23","15-AUG-23","08/16/2023 18:39","2 Trtd 37mm GFF","mod. OSHA ID-214; IC","OZONE","26.","","TOTAL UG","10028-15-6"
