"House.Number","Visit","Location","SidePak.ug.m3.avg","SidePak.ug.m3.stdev","SidePak.ug.m3.min","SidePak.ug.m3.max","SidePak.num.points","SidePak.min.time","SidePak.max.time","Sidepak.tenth","Sidepak.ninetieth","SidePak.interval.measured","SidePak.is.valid","first.day","Ozone.UDAQ.ppb","PM2.5.UDAQ.ug.m3","UDAQ.n_OZONE","UDAQ.n_PM2.5","season","Monitor.closest","Ave Flow (L/min)","Total Volume (L)","O3.mg.m3","O3.ppm","O3.LOD.ppm","O3.Below.detection"
"H02","V2","In",1.70865051903114,0.920805180486105,0,20,1445,2022-11-21 19:06:00,2022-11-22 19:10:00,1,3,24.0666666666667,"Y",2022-11-21,NA,13.92,NA,25,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H02","V2","Out",5.97370242214533,8.18649488732479,0,29,1445,2022-11-21 19:06:00,2022-11-22 19:10:00,0,20,24.0666666666667,"Y",2022-11-21,NA,13.92,NA,25,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H02","V3","In",3.2781954887218,0.832928328176617,3,13,399,2023-08-15 18:13:00,2023-08-16 00:51:00,3,4,6.63333333333333,"Y",2023-08-15,43.6086956521739,11.5217391304348,23,23,"Summer","Spanish Fork",0.501035,702.83686695,"<0.057",NA,0.00341947534823927,TRUE
"H02","V3","Out",5.81453634085213,1.91547236864247,3,29,399,2023-08-15 18:13:00,2023-08-16 00:51:00,4,7,6.63333333333333,"Y",2023-08-15,43.6086956521739,11.5217391304348,23,23,"Summer","Spanish Fork",0.494788,695.6471886,"6.2E-2",0.0371392766798417,0.00345481643533411,FALSE
"H03","V1","In",2.64779874213836,0.768101157388535,2,10,477,2022-07-27 15:36:00,2022-07-28 14:59:00,2,3,23.3833333333333,"Y",2022-07-27,48.0416666666667,8.81666666666667,24,24,"Summer","Spanish Fork",0.246045,351.90586125,"<0.01",NA,0.00682947800821617,TRUE
"H03","V1","Out",24.4528301886792,9.58752128822648,7,52,477,2022-07-27 15:36:00,2022-07-28 14:59:00,15,40,23.3833333333333,"Y",2022-07-27,48.0416666666667,8.81666666666667,24,24,"Summer","Spanish Fork",0.244745,347.5770592,"6.2E-2",0.0380299361599261,0.00691453384725929,FALSE
"H03","V2","In",0.581939799331104,1.74215993954351,0,50,1196,2022-12-08 18:37:00,2022-12-09 17:21:00,0,2,22.7333333333333,"Y",2022-12-08,NA,9.94347826086956,NA,23,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H03","V2","Out",2.13210702341137,2.51873766123223,0,27,1196,2022-12-08 18:37:00,2022-12-09 17:21:00,0,6,22.7333333333333,"Y",2022-12-08,NA,9.94347826086956,NA,23,"Winter","Spanish Fork",NA,NA,NA,NA,NA,NA
"H03","V3","In",6.98095909732017,1.73682882847234,5,15,1418,2023-08-03 13:21:00,2023-08-04 12:58:00,5,10,23.6166666666667,"Y",2023-08-03,39.6521739130435,4.34782608695652,23,23,"Summer","Spanish Fork",0.496215,706.78383525,"<0.0057",NA,0.00340037960760542,TRUE
"H03","V3","Out",10.0662905500705,5.01949401585704,4,42,1418,2023-08-03 13:21:00,2023-08-04 12:58:00,5,15,23.6166666666667,"Y",2023-08-03,39.6521739130435,4.34782608695652,23,23,"Summer","Spanish Fork",0.48405,688.696659,"6.5000000000000002E-2",0.0392589389331625,0.00348968346072555,FALSE
