TrakPro Version 4.70 ASCII Data File

Model:,SidePak Aerosol Monitor
Model Number:,AM510
Serial Number:,11607007
Test ID:,001
Test Abbreviation:,
Start Date:,03/30/2023
Start Time:,17:39:45
Duration (dd:hh:mm:ss):,0:23:32:00
Time constant (seconds):,12848
Log Interval (mm:ss):,01:00
Number of points:,1412
Notes:,H16_V3_In

Statistics,Channel:,Aerosol
,Units:,mg/m^3
,Average:,0.002
,Minimum:,0.001
,Time of Minimum:,17:41:45
,Date of Minimum:,03/30/2023
,Maximum:,0.049
,Time of Maximum:,19:07:45
,Date of Maximum:,03/30/2023

Calibration,Sensor:,Aerosol
,Cal. date,03/30/2023

Date,Time,Aerosol
MM/dd/yyyy,hh:mm:ss,mg/m^3
03/30/2023,17:40:45,0.002
03/30/2023,17:41:45,0.001
03/30/2023,17:42:45,0.001
03/30/2023,17:43:45,0.002
03/30/2023,17:44:45,0.001
03/30/2023,17:45:45,0.003
03/30/2023,17:46:45,0.003
03/30/2023,17:47:45,0.002
03/30/2023,17:48:45,0.002
03/30/2023,17:49:45,0.002
03/30/2023,17:50:45,0.002
03/30/2023,17:51:45,0.003
03/30/2023,17:52:45,0.003
03/30/2023,17:53:45,0.002
03/30/2023,17:54:45,0.002
03/30/2023,17:55:45,0.002
03/30/2023,17:56:45,0.002
03/30/2023,17:57:45,0.010
03/30/2023,17:58:45,0.002
03/30/2023,17:59:45,0.002
03/30/2023,18:00:45,0.002
03/30/2023,18:01:45,0.002
03/30/2023,18:02:45,0.002
03/30/2023,18:03:45,0.002
03/30/2023,18:04:45,0.002
03/30/2023,18:05:45,0.002
03/30/2023,18:06:45,0.004
03/30/2023,18:07:45,0.002
03/30/2023,18:08:45,0.003
03/30/2023,18:09:45,0.002
03/30/2023,18:10:45,0.002
03/30/2023,18:11:45,0.001
03/30/2023,18:12:45,0.002
03/30/2023,18:13:45,0.002
03/30/2023,18:14:45,0.002
03/30/2023,18:15:45,0.002
03/30/2023,18:16:45,0.002
03/30/2023,18:17:45,0.002
03/30/2023,18:18:45,0.002
03/30/2023,18:19:45,0.002
03/30/2023,18:20:45,0.001
03/30/2023,18:21:45,0.006
03/30/2023,18:22:45,0.002
03/30/2023,18:23:45,0.003
03/30/2023,18:24:45,0.002
03/30/2023,18:25:45,0.002
03/30/2023,18:26:45,0.002
03/30/2023,18:27:45,0.003
03/30/2023,18:28:45,0.004
03/30/2023,18:29:45,0.002
03/30/2023,18:30:45,0.002
03/30/2023,18:31:45,0.002
03/30/2023,18:32:45,0.002
03/30/2023,18:33:45,0.003
03/30/2023,18:34:45,0.003
03/30/2023,18:35:45,0.002
03/30/2023,18:36:45,0.008
03/30/2023,18:37:45,0.002
03/30/2023,18:38:45,0.006
03/30/2023,18:39:45,0.002
03/30/2023,18:40:45,0.002
03/30/2023,18:41:45,0.002
03/30/2023,18:42:45,0.005
03/30/2023,18:43:45,0.002
03/30/2023,18:44:45,0.002
03/30/2023,18:45:45,0.002
03/30/2023,18:46:45,0.002
03/30/2023,18:47:45,0.002
03/30/2023,18:48:45,0.004
03/30/2023,18:49:45,0.002
03/30/2023,18:50:45,0.002
03/30/2023,18:51:45,0.003
03/30/2023,18:52:45,0.002
03/30/2023,18:53:45,0.004
03/30/2023,18:54:45,0.002
03/30/2023,18:55:45,0.002
03/30/2023,18:56:45,0.006
03/30/2023,18:57:45,0.002
03/30/2023,18:58:45,0.002
03/30/2023,18:59:45,0.002
03/30/2023,19:00:45,0.003
03/30/2023,19:01:45,0.002
03/30/2023,19:02:45,0.007
03/30/2023,19:03:45,0.003
03/30/2023,19:04:45,0.003
03/30/2023,19:05:45,0.002
03/30/2023,19:06:45,0.002
03/30/2023,19:07:45,0.049
03/30/2023,19:08:45,0.003
03/30/2023,19:09:45,0.003
03/30/2023,19:10:45,0.003
03/30/2023,19:11:45,0.013
03/30/2023,19:12:45,0.002
03/30/2023,19:13:45,0.002
03/30/2023,19:14:45,0.004
03/30/2023,19:15:45,0.002
03/30/2023,19:16:45,0.003
03/30/2023,19:17:45,0.007
03/30/2023,19:18:45,0.002
03/30/2023,19:19:45,0.003
03/30/2023,19:20:45,0.002
03/30/2023,19:21:45,0.002
03/30/2023,19:22:45,0.002
03/30/2023,19:23:45,0.004
03/30/2023,19:24:45,0.003
03/30/2023,19:25:45,0.002
03/30/2023,19:26:45,0.002
03/30/2023,19:27:45,0.004
03/30/2023,19:28:45,0.002
03/30/2023,19:29:45,0.002
03/30/2023,19:30:45,0.003
03/30/2023,19:31:45,0.003
03/30/2023,19:32:45,0.003
03/30/2023,19:33:45,0.002
03/30/2023,19:34:45,0.009
03/30/2023,19:35:45,0.002
03/30/2023,19:36:45,0.002
03/30/2023,19:37:45,0.002
03/30/2023,19:38:45,0.002
03/30/2023,19:39:45,0.002
03/30/2023,19:40:45,0.004
03/30/2023,19:41:45,0.002
03/30/2023,19:42:45,0.002
03/30/2023,19:43:45,0.003
03/30/2023,19:44:45,0.002
03/30/2023,19:45:45,0.003
03/30/2023,19:46:45,0.003
03/30/2023,19:47:45,0.002
03/30/2023,19:48:45,0.007
03/30/2023,19:49:45,0.003
03/30/2023,19:50:45,0.003
03/30/2023,19:51:45,0.003
03/30/2023,19:52:45,0.003
03/30/2023,19:53:45,0.002
03/30/2023,19:54:45,0.002
03/30/2023,19:55:45,0.002
03/30/2023,19:56:45,0.002
03/30/2023,19:57:45,0.004
03/30/2023,19:58:45,0.002
03/30/2023,19:59:45,0.002
03/30/2023,20:00:45,0.002
03/30/2023,20:01:45,0.002
03/30/2023,20:02:45,0.003
03/30/2023,20:03:45,0.003
03/30/2023,20:04:45,0.003
03/30/2023,20:05:45,0.002
03/30/2023,20:06:45,0.002
03/30/2023,20:07:45,0.002
03/30/2023,20:08:45,0.002
03/30/2023,20:09:45,0.020
03/30/2023,20:10:45,0.002
03/30/2023,20:11:45,0.002
03/30/2023,20:12:45,0.002
03/30/2023,20:13:45,0.003
03/30/2023,20:14:45,0.003
03/30/2023,20:15:45,0.002
03/30/2023,20:16:45,0.002
03/30/2023,20:17:45,0.002
03/30/2023,20:18:45,0.002
03/30/2023,20:19:45,0.002
03/30/2023,20:20:45,0.002
03/30/2023,20:21:45,0.002
03/30/2023,20:22:45,0.005
03/30/2023,20:23:45,0.002
03/30/2023,20:24:45,0.002
03/30/2023,20:25:45,0.001
03/30/2023,20:26:45,0.002
03/30/2023,20:27:45,0.002
03/30/2023,20:28:45,0.001
03/30/2023,20:29:45,0.002
03/30/2023,20:30:45,0.002
03/30/2023,20:31:45,0.002
03/30/2023,20:32:45,0.002
03/30/2023,20:33:45,0.002
03/30/2023,20:34:45,0.003
03/30/2023,20:35:45,0.002
03/30/2023,20:36:45,0.002
03/30/2023,20:37:45,0.002
03/30/2023,20:38:45,0.002
03/30/2023,20:39:45,0.003
03/30/2023,20:40:45,0.002
03/30/2023,20:41:45,0.002
03/30/2023,20:42:45,0.003
03/30/2023,20:43:45,0.002
03/30/2023,20:44:45,0.002
03/30/2023,20:45:45,0.002
03/30/2023,20:46:45,0.001
03/30/2023,20:47:45,0.002
03/30/2023,20:48:45,0.006
03/30/2023,20:49:45,0.003
03/30/2023,20:50:45,0.002
03/30/2023,20:51:45,0.002
03/30/2023,20:52:45,0.003
03/30/2023,20:53:45,0.002
03/30/2023,20:54:45,0.002
03/30/2023,20:55:45,0.002
03/30/2023,20:56:45,0.002
03/30/2023,20:57:45,0.002
03/30/2023,20:58:45,0.002
03/30/2023,20:59:45,0.001
03/30/2023,21:00:45,0.003
03/30/2023,21:01:45,0.001
03/30/2023,21:02:45,0.002
03/30/2023,21:03:45,0.002
03/30/2023,21:04:45,0.002
03/30/2023,21:05:45,0.001
03/30/2023,21:06:45,0.002
03/30/2023,21:07:45,0.001
03/30/2023,21:08:45,0.002
03/30/2023,21:09:45,0.001
03/30/2023,21:10:45,0.001
03/30/2023,21:11:45,0.002
03/30/2023,21:12:45,0.002
03/30/2023,21:13:45,0.001
03/30/2023,21:14:45,0.002
03/30/2023,21:15:45,0.001
03/30/2023,21:16:45,0.001
03/30/2023,21:17:45,0.002
03/30/2023,21:18:45,0.002
03/30/2023,21:19:45,0.002
03/30/2023,21:20:45,0.002
03/30/2023,21:21:45,0.001
03/30/2023,21:22:45,0.001
03/30/2023,21:23:45,0.001
03/30/2023,21:24:45,0.001
03/30/2023,21:25:45,0.001
03/30/2023,21:26:45,0.001
03/30/2023,21:27:45,0.001
03/30/2023,21:28:45,0.002
03/30/2023,21:29:45,0.002
03/30/2023,21:30:45,0.002
03/30/2023,21:31:45,0.002
03/30/2023,21:32:45,0.002
03/30/2023,21:33:45,0.002
03/30/2023,21:34:45,0.002
03/30/2023,21:35:45,0.002
03/30/2023,21:36:45,0.002
03/30/2023,21:37:45,0.002
03/30/2023,21:38:45,0.001
03/30/2023,21:39:45,0.001
03/30/2023,21:40:45,0.002
03/30/2023,21:41:45,0.002
03/30/2023,21:42:45,0.002
03/30/2023,21:43:45,0.002
03/30/2023,21:44:45,0.001
03/30/2023,21:45:45,0.002
03/30/2023,21:46:45,0.001
03/30/2023,21:47:45,0.001
03/30/2023,21:48:45,0.002
03/30/2023,21:49:45,0.002
03/30/2023,21:50:45,0.002
03/30/2023,21:51:45,0.001
03/30/2023,21:52:45,0.002
03/30/2023,21:53:45,0.002
03/30/2023,21:54:45,0.001
03/30/2023,21:55:45,0.002
03/30/2023,21:56:45,0.001
03/30/2023,21:57:45,0.003
03/30/2023,21:58:45,0.002
03/30/2023,21:59:45,0.001
03/30/2023,22:00:45,0.002
03/30/2023,22:01:45,0.001
03/30/2023,22:02:45,0.003
03/30/2023,22:03:45,0.003
03/30/2023,22:04:45,0.002
03/30/2023,22:05:45,0.001
03/30/2023,22:06:45,0.002
03/30/2023,22:07:45,0.001
03/30/2023,22:08:45,0.001
03/30/2023,22:09:45,0.002
03/30/2023,22:10:45,0.001
03/30/2023,22:11:45,0.002
03/30/2023,22:12:45,0.001
03/30/2023,22:13:45,0.001
03/30/2023,22:14:45,0.001
03/30/2023,22:15:45,0.002
03/30/2023,22:16:45,0.001
03/30/2023,22:17:45,0.002
03/30/2023,22:18:45,0.002
03/30/2023,22:19:45,0.001
03/30/2023,22:20:45,0.001
03/30/2023,22:21:45,0.001
03/30/2023,22:22:45,0.002
03/30/2023,22:23:45,0.002
03/30/2023,22:24:45,0.001
03/30/2023,22:25:45,0.002
03/30/2023,22:26:45,0.001
03/30/2023,22:27:45,0.002
03/30/2023,22:28:45,0.001
03/30/2023,22:29:45,0.001
03/30/2023,22:30:45,0.001
03/30/2023,22:31:45,0.002
03/30/2023,22:32:45,0.002
03/30/2023,22:33:45,0.002
03/30/2023,22:34:45,0.001
03/30/2023,22:35:45,0.002
03/30/2023,22:36:45,0.002
03/30/2023,22:37:45,0.001
03/30/2023,22:38:45,0.002
03/30/2023,22:39:45,0.001
03/30/2023,22:40:45,0.001
03/30/2023,22:41:45,0.002
03/30/2023,22:42:45,0.002
03/30/2023,22:43:45,0.001
03/30/2023,22:44:45,0.001
03/30/2023,22:45:45,0.001
03/30/2023,22:46:45,0.001
03/30/2023,22:47:45,0.002
03/30/2023,22:48:45,0.001
03/30/2023,22:49:45,0.001
03/30/2023,22:50:45,0.001
03/30/2023,22:51:45,0.002
03/30/2023,22:52:45,0.001
03/30/2023,22:53:45,0.002
03/30/2023,22:54:45,0.002
03/30/2023,22:55:45,0.001
03/30/2023,22:56:45,0.001
03/30/2023,22:57:45,0.002
03/30/2023,22:58:45,0.001
03/30/2023,22:59:45,0.001
03/30/2023,23:00:45,0.002
03/30/2023,23:01:45,0.001
03/30/2023,23:02:45,0.004
03/30/2023,23:03:45,0.001
03/30/2023,23:04:45,0.001
03/30/2023,23:05:45,0.002
03/30/2023,23:06:45,0.001
03/30/2023,23:07:45,0.001
03/30/2023,23:08:45,0.001
03/30/2023,23:09:45,0.001
03/30/2023,23:10:45,0.002
03/30/2023,23:11:45,0.002
03/30/2023,23:12:45,0.001
03/30/2023,23:13:45,0.001
03/30/2023,23:14:45,0.002
03/30/2023,23:15:45,0.001
03/30/2023,23:16:45,0.001
03/30/2023,23:17:45,0.001
03/30/2023,23:18:45,0.002
03/30/2023,23:19:45,0.001
03/30/2023,23:20:45,0.001
03/30/2023,23:21:45,0.001
03/30/2023,23:22:45,0.001
03/30/2023,23:23:45,0.001
03/30/2023,23:24:45,0.002
03/30/2023,23:25:45,0.001
03/30/2023,23:26:45,0.001
