TrakPro Version 4.70 ASCII Data File

Model:,SidePak Aerosol Monitor
Model Number:,AM510
Serial Number:,11504028
Test ID:,001
Test Abbreviation:,
Start Date:,08/10/2023
Start Time:,18:09:54
Duration (dd:hh:mm:ss):,0:00:57:00
Time constant (seconds):,-30048
Log Interval (mm:ss):,01:00
Number of points:,57
Notes:,

Statistics,Channel:,Aerosol
,Units:,mg/m^3
,Average:,0.013
,Minimum:,0.007
,Time of Minimum:,18:11:54
,Date of Minimum:,08/10/2023
,Maximum:,0.033
,Time of Maximum:,18:25:54
,Date of Maximum:,08/10/2023

Calibration,Sensor:,Aerosol
,Cal. date,08/10/2023

Date,Time,Aerosol
MM/dd/yyyy,hh:mm:ss,mg/m^3
08/10/2023,18:10:54,0.008
08/10/2023,18:11:54,0.007
08/10/2023,18:12:54,0.007
08/10/2023,18:13:54,0.009
08/10/2023,18:14:54,0.008
08/10/2023,18:15:54,0.008
08/10/2023,18:16:54,0.008
08/10/2023,18:17:54,0.009
08/10/2023,18:18:54,0.008
08/10/2023,18:19:54,0.009
08/10/2023,18:20:54,0.010
08/10/2023,18:21:54,0.010
08/10/2023,18:22:54,0.010
08/10/2023,18:23:54,0.010
08/10/2023,18:24:54,0.010
08/10/2023,18:25:54,0.033
08/10/2023,18:26:54,0.010
08/10/2023,18:27:54,0.012
08/10/2023,18:28:54,0.010
08/10/2023,18:29:54,0.011
08/10/2023,18:30:54,0.011
08/10/2023,18:31:54,0.010
08/10/2023,18:32:54,0.010
08/10/2023,18:33:54,0.012
08/10/2023,18:34:54,0.010
08/10/2023,18:35:54,0.011
08/10/2023,18:36:54,0.011
08/10/2023,18:37:54,0.012
08/10/2023,18:38:54,0.012
08/10/2023,18:39:54,0.012
08/10/2023,18:40:54,0.011
08/10/2023,18:41:54,0.011
08/10/2023,18:42:54,0.011
08/10/2023,18:43:54,0.012
08/10/2023,18:44:54,0.012
08/10/2023,18:45:54,0.012
08/10/2023,18:46:54,0.014
08/10/2023,18:47:54,0.013
08/10/2023,18:48:54,0.013
08/10/2023,18:49:54,0.013
08/10/2023,18:50:54,0.016
08/10/2023,18:51:54,0.012
08/10/2023,18:52:54,0.014
08/10/2023,18:53:54,0.012
08/10/2023,18:54:54,0.015
08/10/2023,18:55:54,0.013
08/10/2023,18:56:54,0.015
08/10/2023,18:57:54,0.013
08/10/2023,18:58:54,0.014
08/10/2023,18:59:54,0.014
08/10/2023,19:00:54,0.020
08/10/2023,19:01:54,0.019
08/10/2023,19:02:54,0.020
08/10/2023,19:03:54,0.021
08/10/2023,19:04:54,0.022
08/10/2023,19:05:54,0.019
08/10/2023,19:06:54,0.017
