TrakPro Version 4.70 ASCII Data File

Model:,SidePak Aerosol Monitor
Model Number:,AM510
Serial Number:,11505005
Test ID:,003
Test Abbreviation:,
Start Date:,03/16/2023
Start Time:,17:06:47
Duration (dd:hh:mm:ss):,1:00:11:00
Time constant (seconds):,12088
Log Interval (mm:ss):,01:00
Number of points:,1451
Notes:,H09_V2_In

Statistics,Channel:,Aerosol
,Units:,mg/m^3
,Average:,0.001
,Minimum:,0.000
,Time of Minimum:,18:43:47
,Date of Minimum:,03/16/2023
,Maximum:,0.010
,Time of Maximum:,20:59:47
,Date of Maximum:,03/16/2023

Calibration,Sensor:,Aerosol
,Cal. date,03/16/2023

Date,Time,Aerosol
MM/dd/yyyy,hh:mm:ss,mg/m^3
03/16/2023,17:07:47,0.001
03/16/2023,17:08:47,0.001
03/16/2023,17:09:47,0.001
03/16/2023,17:10:47,0.001
03/16/2023,17:11:47,0.001
03/16/2023,17:12:47,0.001
03/16/2023,17:13:47,0.001
03/16/2023,17:14:47,0.001
03/16/2023,17:15:47,0.001
03/16/2023,17:16:47,0.002
03/16/2023,17:17:47,0.001
03/16/2023,17:18:47,0.001
03/16/2023,17:19:47,0.001
03/16/2023,17:20:47,0.002
03/16/2023,17:21:47,0.001
03/16/2023,17:22:47,0.001
03/16/2023,17:23:47,0.001
03/16/2023,17:24:47,0.001
03/16/2023,17:25:47,0.001
03/16/2023,17:26:47,0.001
03/16/2023,17:27:47,0.002
03/16/2023,17:28:47,0.002
03/16/2023,17:29:47,0.002
03/16/2023,17:30:47,0.002
03/16/2023,17:31:47,0.002
03/16/2023,17:32:47,0.002
03/16/2023,17:33:47,0.001
03/16/2023,17:34:47,0.001
03/16/2023,17:35:47,0.001
03/16/2023,17:36:47,0.001
03/16/2023,17:37:47,0.001
03/16/2023,17:38:47,0.001
03/16/2023,17:39:47,0.001
03/16/2023,17:40:47,0.003
03/16/2023,17:41:47,0.001
03/16/2023,17:42:47,0.001
03/16/2023,17:43:47,0.001
03/16/2023,17:44:47,0.002
03/16/2023,17:45:47,0.001
03/16/2023,17:46:47,0.001
03/16/2023,17:47:47,0.001
03/16/2023,17:48:47,0.001
03/16/2023,17:49:47,0.002
03/16/2023,17:50:47,0.002
03/16/2023,17:51:47,0.003
03/16/2023,17:52:47,0.001
03/16/2023,17:53:47,0.001
03/16/2023,17:54:47,0.001
03/16/2023,17:55:47,0.002
03/16/2023,17:56:47,0.001
03/16/2023,17:57:47,0.001
03/16/2023,17:58:47,0.001
03/16/2023,17:59:47,0.001
