TrakPro Version 4.70 ASCII Data File

Model:,SidePak Aerosol Monitor
Model Number:,AM510
Serial Number:,11505005
Test ID:,005
Test Abbreviation:,
Start Date:,04/04/2023
Start Time:,17:30:41
Duration (dd:hh:mm:ss):,0:23:32:00
Time constant (seconds):,13873
Log Interval (mm:ss):,01:00
Number of points:,1412
Notes:,H13_V2_Out

Statistics,Channel:,Aerosol
,Units:,mg/m^3
,Average:,0.007
,Minimum:,0.000
,Time of Minimum:,18:49:41
,Date of Minimum:,04/04/2023
,Maximum:,0.033
,Time of Maximum:,07:37:41
,Date of Maximum:,04/05/2023

Calibration,Sensor:,Aerosol
,Cal. date,03/30/2023

Date,Time,Aerosol
MM/dd/yyyy,hh:mm:ss,mg/m^3
04/04/2023,17:31:41,0.003
04/04/2023,17:32:41,0.002
04/04/2023,17:33:41,0.002
04/04/2023,17:34:41,0.002
04/04/2023,17:35:41,0.003
04/04/2023,17:36:41,0.003
04/04/2023,17:37:41,0.003
04/04/2023,17:38:41,0.002
04/04/2023,17:39:41,0.003
04/04/2023,17:40:41,0.003
04/04/2023,17:41:41,0.002
04/04/2023,17:42:41,0.003
04/04/2023,17:43:41,0.002
04/04/2023,17:44:41,0.002
04/04/2023,17:45:41,0.002
04/04/2023,17:46:41,0.002
04/04/2023,17:47:41,0.002
04/04/2023,17:48:41,0.002
04/04/2023,17:49:41,0.002
04/04/2023,17:50:41,0.003
04/04/2023,17:51:41,0.002
04/04/2023,17:52:41,0.003
04/04/2023,17:53:41,0.002
04/04/2023,17:54:41,0.002
04/04/2023,17:55:41,0.002
04/04/2023,17:56:41,0.002
04/04/2023,17:57:41,0.002
04/04/2023,17:58:41,0.002
04/04/2023,17:59:41,0.002
04/04/2023,18:00:41,0.002
04/04/2023,18:01:41,0.002
04/04/2023,18:02:41,0.002
04/04/2023,18:03:41,0.002
04/04/2023,18:04:41,0.002
04/04/2023,18:05:41,0.002
04/04/2023,18:06:41,0.001
04/04/2023,18:07:41,0.003
04/04/2023,18:08:41,0.002
04/04/2023,18:09:41,0.001
04/04/2023,18:10:41,0.001
04/04/2023,18:11:41,0.002
04/04/2023,18:12:41,0.001
04/04/2023,18:13:41,0.001
04/04/2023,18:14:41,0.001
04/04/2023,18:15:41,0.001
04/04/2023,18:16:41,0.001
04/04/2023,18:17:41,0.001
04/04/2023,18:18:41,0.002
04/04/2023,18:19:41,0.002
04/04/2023,18:20:41,0.002
04/04/2023,18:21:41,0.001
04/04/2023,18:22:41,0.001
04/04/2023,18:23:41,0.001
04/04/2023,18:24:41,0.001
04/04/2023,18:25:41,0.002
04/04/2023,18:26:41,0.002
04/04/2023,18:27:41,0.001
04/04/2023,18:28:41,0.003
04/04/2023,18:29:41,0.002
04/04/2023,18:30:41,0.002
04/04/2023,18:31:41,0.002
04/04/2023,18:32:41,0.002
04/04/2023,18:33:41,0.003
04/04/2023,18:34:41,0.002
04/04/2023,18:35:41,0.002
04/04/2023,18:36:41,0.001
04/04/2023,18:37:41,0.001
04/04/2023,18:38:41,0.001
04/04/2023,18:39:41,0.001
04/04/2023,18:40:41,0.001
04/04/2023,18:41:41,0.001
04/04/2023,18:42:41,0.001
04/04/2023,18:43:41,0.001
04/04/2023,18:44:41,0.001
04/04/2023,18:45:41,0.001
04/04/2023,18:46:41,0.001
04/04/2023,18:47:41,0.001
04/04/2023,18:48:41,0.001
04/04/2023,18:49:41,0.000
04/04/2023,18:50:41,0.001
04/04/2023,18:51:41,0.000
04/04/2023,18:52:41,0.001
04/04/2023,18:53:41,0.001
04/04/2023,18:54:41,0.000
04/04/2023,18:55:41,0.001
04/04/2023,18:56:41,0.000
04/04/2023,18:57:41,0.001
04/04/2023,18:58:41,0.001
04/04/2023,18:59:41,0.000
04/04/2023,19:00:41,0.000
04/04/2023,19:01:41,0.001
04/04/2023,19:02:41,0.000
04/04/2023,19:03:41,0.000
04/04/2023,19:04:41,0.000
04/04/2023,19:05:41,0.001
04/04/2023,19:06:41,0.000
04/04/2023,19:07:41,0.000
04/04/2023,19:08:41,0.000
04/04/2023,19:09:41,0.000
04/04/2023,19:10:41,0.000
04/04/2023,19:11:41,0.000
04/04/2023,19:12:41,0.001
04/04/2023,19:13:41,0.000
04/04/2023,19:14:41,0.000
04/04/2023,19:15:41,0.001
04/04/2023,19:16:41,0.001
04/04/2023,19:17:41,0.001
04/04/2023,19:18:41,0.001
04/04/2023,19:19:41,0.000
04/04/2023,19:20:41,0.000
04/04/2023,19:21:41,0.001
04/04/2023,19:22:41,0.000
04/04/2023,19:23:41,0.000
04/04/2023,19:24:41,0.001
04/04/2023,19:25:41,0.001
04/04/2023,19:26:41,0.001
04/04/2023,19:27:41,0.000
04/04/2023,19:28:41,0.001
04/04/2023,19:29:41,0.000
04/04/2023,19:30:41,0.000
04/04/2023,19:31:41,0.001
04/04/2023,19:32:41,0.001
