TrakPro Version 4.70 ASCII Data File

Model:,SidePak Aerosol Monitor
Model Number:,AM510
Serial Number:,11504028
Test ID:,001
Test Abbreviation:,
Start Date:,08/31/2023
Start Time:,19:55:41
Duration (dd:hh:mm:ss):,0:02:23:00
Time constant (seconds):,13626
Log Interval (mm:ss):,01:00
Number of points:,143
Notes:,

Statistics,Channel:,Aerosol
,Units:,mg/m^3
,Average:,0.010
,Minimum:,0.007
,Time of Minimum:,19:56:41
,Date of Minimum:,08/31/2023
,Maximum:,0.019
,Time of Maximum:,21:18:41
,Date of Maximum:,08/31/2023

Calibration,Sensor:,Aerosol
,Cal. date,08/31/2023

Date,Time,Aerosol
MM/dd/yyyy,hh:mm:ss,mg/m^3
08/31/2023,19:56:41,0.007
08/31/2023,19:57:41,0.007
08/31/2023,19:58:41,0.008
08/31/2023,19:59:41,0.009
08/31/2023,20:00:41,0.008
08/31/2023,20:01:41,0.008
08/31/2023,20:02:41,0.008
08/31/2023,20:03:41,0.008
08/31/2023,20:04:41,0.008
08/31/2023,20:05:41,0.007
08/31/2023,20:06:41,0.007
08/31/2023,20:07:41,0.008
08/31/2023,20:08:41,0.008
08/31/2023,20:09:41,0.008
08/31/2023,20:10:41,0.009
08/31/2023,20:11:41,0.010
08/31/2023,20:12:41,0.009
08/31/2023,20:13:41,0.009
08/31/2023,20:14:41,0.009
08/31/2023,20:15:41,0.009
08/31/2023,20:16:41,0.010
08/31/2023,20:17:41,0.009
08/31/2023,20:18:41,0.009
08/31/2023,20:19:41,0.009
08/31/2023,20:20:41,0.009
08/31/2023,20:21:41,0.009
08/31/2023,20:22:41,0.009
08/31/2023,20:23:41,0.010
08/31/2023,20:24:41,0.009
08/31/2023,20:25:41,0.009
08/31/2023,20:26:41,0.010
08/31/2023,20:27:41,0.009
08/31/2023,20:28:41,0.009
08/31/2023,20:29:41,0.009
08/31/2023,20:30:41,0.009
08/31/2023,20:31:41,0.009
08/31/2023,20:32:41,0.009
08/31/2023,20:33:41,0.010
08/31/2023,20:34:41,0.011
08/31/2023,20:35:41,0.010
08/31/2023,20:36:41,0.010
08/31/2023,20:37:41,0.010
08/31/2023,20:38:41,0.010
08/31/2023,20:39:41,0.009
08/31/2023,20:40:41,0.010
08/31/2023,20:41:41,0.010
08/31/2023,20:42:41,0.010
08/31/2023,20:43:41,0.010
08/31/2023,20:44:41,0.011
08/31/2023,20:45:41,0.010
08/31/2023,20:46:41,0.010
08/31/2023,20:47:41,0.010
08/31/2023,20:48:41,0.010
08/31/2023,20:49:41,0.011
08/31/2023,20:50:41,0.011
08/31/2023,20:51:41,0.010
08/31/2023,20:52:41,0.011
08/31/2023,20:53:41,0.011
08/31/2023,20:54:41,0.012
08/31/2023,20:55:41,0.010
08/31/2023,20:56:41,0.010
08/31/2023,20:57:41,0.011
08/31/2023,20:58:41,0.011
08/31/2023,20:59:41,0.011
08/31/2023,21:00:41,0.010
08/31/2023,21:01:41,0.010
08/31/2023,21:02:41,0.010
08/31/2023,21:03:41,0.011
08/31/2023,21:04:41,0.011
08/31/2023,21:05:41,0.012
08/31/2023,21:06:41,0.010
08/31/2023,21:07:41,0.011
08/31/2023,21:08:41,0.010
08/31/2023,21:09:41,0.011
08/31/2023,21:10:41,0.011
08/31/2023,21:11:41,0.011
08/31/2023,21:12:41,0.011
08/31/2023,21:13:41,0.011
08/31/2023,21:14:41,0.010
08/31/2023,21:15:41,0.010
08/31/2023,21:16:41,0.010
08/31/2023,21:17:41,0.010
08/31/2023,21:18:41,0.019
08/31/2023,21:19:41,0.012
08/31/2023,21:20:41,0.010
08/31/2023,21:21:41,0.011
08/31/2023,21:22:41,0.011
08/31/2023,21:23:41,0.011
08/31/2023,21:24:41,0.012
08/31/2023,21:25:41,0.010
08/31/2023,21:26:41,0.011
08/31/2023,21:27:41,0.010
08/31/2023,21:28:41,0.011
08/31/2023,21:29:41,0.010
08/31/2023,21:30:41,0.012
08/31/2023,21:31:41,0.010
08/31/2023,21:32:41,0.010
08/31/2023,21:33:41,0.010
08/31/2023,21:34:41,0.011
08/31/2023,21:35:41,0.011
08/31/2023,21:36:41,0.010
08/31/2023,21:37:41,0.011
08/31/2023,21:38:41,0.011
08/31/2023,21:39:41,0.011
08/31/2023,21:40:41,0.011
08/31/2023,21:41:41,0.011
08/31/2023,21:42:41,0.011
08/31/2023,21:43:41,0.011
08/31/2023,21:44:41,0.010
08/31/2023,21:45:41,0.011
08/31/2023,21:46:41,0.010
08/31/2023,21:47:41,0.010
08/31/2023,21:48:41,0.010
08/31/2023,21:49:41,0.011
08/31/2023,21:50:41,0.010
08/31/2023,21:51:41,0.010
08/31/2023,21:52:41,0.011
08/31/2023,21:53:41,0.010
08/31/2023,21:54:41,0.010
08/31/2023,21:55:41,0.010
08/31/2023,21:56:41,0.011
08/31/2023,21:57:41,0.011
08/31/2023,21:58:41,0.010
08/31/2023,21:59:41,0.010
08/31/2023,22:00:41,0.010
08/31/2023,22:01:41,0.010
08/31/2023,22:02:41,0.010
08/31/2023,22:03:41,0.011
08/31/2023,22:04:41,0.010
08/31/2023,22:05:41,0.011
08/31/2023,22:06:41,0.010
08/31/2023,22:07:41,0.010
08/31/2023,22:08:41,0.011
08/31/2023,22:09:41,0.011
08/31/2023,22:10:41,0.010
08/31/2023,22:11:41,0.010
08/31/2023,22:12:41,0.011
08/31/2023,22:13:41,0.010
08/31/2023,22:14:41,0.012
08/31/2023,22:15:41,0.010
08/31/2023,22:16:41,0.010
08/31/2023,22:17:41,0.010
08/31/2023,22:18:41,0.010
