TrakPro Version 4.70 ASCII Data File

Model:,SidePak Aerosol Monitor
Model Number:,AM510
Serial Number:,11504028
Test ID:,001
Test Abbreviation:,
Start Date:,08/24/2023
Start Time:,17:40:50
Duration (dd:hh:mm:ss):,0:23:57:00
Time constant (seconds):,-30048
Log Interval (mm:ss):,01:00
Number of points:,1437
Notes:,

Statistics,Channel:,Aerosol
,Units:,mg/m^3
,Average:,0.008
,Minimum:,0.006
,Time of Minimum:,18:39:50
,Date of Minimum:,08/24/2023
,Maximum:,0.033
,Time of Maximum:,08:58:50
,Date of Maximum:,08/25/2023

Calibration,Sensor:,Aerosol
,Cal. date,08/24/2023

Date,Time,Aerosol
MM/dd/yyyy,hh:mm:ss,mg/m^3
08/24/2023,17:41:50,0.007
08/24/2023,17:42:50,0.009
08/24/2023,17:43:50,0.008
08/24/2023,17:44:50,0.007
08/24/2023,17:45:50,0.009
08/24/2023,17:46:50,0.007
08/24/2023,17:47:50,0.008
08/24/2023,17:48:50,0.012
08/24/2023,17:49:50,0.009
08/24/2023,17:50:50,0.008
08/24/2023,17:51:50,0.007
08/24/2023,17:52:50,0.007
08/24/2023,17:53:50,0.009
08/24/2023,17:54:50,0.008
08/24/2023,17:55:50,0.008
08/24/2023,17:56:50,0.007
08/24/2023,17:57:50,0.008
08/24/2023,17:58:50,0.008
08/24/2023,17:59:50,0.008
08/24/2023,18:00:50,0.008
08/24/2023,18:01:50,0.008
08/24/2023,18:02:50,0.008
08/24/2023,18:03:50,0.007
08/24/2023,18:04:50,0.008
08/24/2023,18:05:50,0.007
08/24/2023,18:06:50,0.008
08/24/2023,18:07:50,0.008
08/24/2023,18:08:50,0.008
08/24/2023,18:09:50,0.008
08/24/2023,18:10:50,0.009
08/24/2023,18:11:50,0.022
08/24/2023,18:12:50,0.009
08/24/2023,18:13:50,0.009
08/24/2023,18:14:50,0.009
08/24/2023,18:15:50,0.007
08/24/2023,18:16:50,0.010
08/24/2023,18:17:50,0.009
08/24/2023,18:18:50,0.009
08/24/2023,18:19:50,0.008
08/24/2023,18:20:50,0.011
08/24/2023,18:21:50,0.008
08/24/2023,18:22:50,0.007
08/24/2023,18:23:50,0.008
08/24/2023,18:24:50,0.008
08/24/2023,18:25:50,0.007
08/24/2023,18:26:50,0.008
08/24/2023,18:27:50,0.008
08/24/2023,18:28:50,0.008
08/24/2023,18:29:50,0.007
08/24/2023,18:30:50,0.009
08/24/2023,18:31:50,0.008
08/24/2023,18:32:50,0.007
08/24/2023,18:33:50,0.009
08/24/2023,18:34:50,0.007
08/24/2023,18:35:50,0.007
08/24/2023,18:36:50,0.007
08/24/2023,18:37:50,0.007
08/24/2023,18:38:50,0.010
08/24/2023,18:39:50,0.006
08/24/2023,18:40:50,0.008
08/24/2023,18:41:50,0.007
08/24/2023,18:42:50,0.007
08/24/2023,18:43:50,0.009
08/24/2023,18:44:50,0.008
08/24/2023,18:45:50,0.006
08/24/2023,18:46:50,0.008
08/24/2023,18:47:50,0.007
08/24/2023,18:48:50,0.007
08/24/2023,18:49:50,0.007
08/24/2023,18:50:50,0.007
08/24/2023,18:51:50,0.007
08/24/2023,18:52:50,0.007
08/24/2023,18:53:50,0.007
08/24/2023,18:54:50,0.007
