Data Point	Date	Time	Aerosol mg/m^3
1	09/08/2022	17:15:17	0.018
2	09/08/2022	17:16:17	0.018
3	09/08/2022	17:17:17	0.017
4	09/08/2022	17:18:17	0.023
5	09/08/2022	17:19:17	0.016
6	09/08/2022	17:20:17	0.018
7	09/08/2022	17:21:17	0.021
8	09/08/2022	17:22:17	0.02
9	09/08/2022	17:23:17	0.02
10	09/08/2022	17:24:17	0.019
11	09/08/2022	17:25:17	0.017
12	09/08/2022	17:26:17	0.018
13	09/08/2022	17:27:17	0.016
14	09/08/2022	17:28:17	0.017
15	09/08/2022	17:29:17	0.017
16	09/08/2022	17:30:17	0.017
17	09/08/2022	17:31:17	0.016
18	09/08/2022	17:32:17	0.015
19	09/08/2022	17:33:17	0.017
20	09/08/2022	17:34:17	0.016
21	09/08/2022	17:35:17	0.018
22	09/08/2022	17:36:17	0.016
23	09/08/2022	17:37:17	0.016
24	09/08/2022	17:38:17	0.017
25	09/08/2022	17:39:17	0.019
26	09/08/2022	17:40:17	0.016
27	09/08/2022	17:41:17	0.013
28	09/08/2022	17:42:17	0.014
29	09/08/2022	17:43:17	0.015
30	09/08/2022	17:44:17	0.014
31	09/08/2022	17:45:17	0.016
32	09/08/2022	17:46:17	0.015
33	09/08/2022	17:47:17	0.013
34	09/08/2022	17:48:17	0.014
35	09/08/2022	17:49:17	0.013
36	09/08/2022	17:50:17	0.013
37	09/08/2022	17:51:17	0.013
38	09/08/2022	17:52:17	0.014
39	09/08/2022	17:53:17	0.013
40	09/08/2022	17:54:17	0.014
41	09/08/2022	17:55:17	0.014
42	09/08/2022	17:56:17	0.013
43	09/08/2022	17:57:17	0.013
44	09/08/2022	17:58:17	0.011
45	09/08/2022	17:59:17	0.012
46	09/08/2022	18:00:17	0.011
47	09/08/2022	18:01:17	0.013
48	09/08/2022	18:02:17	0.015
49	09/08/2022	18:03:17	0.012
50	09/08/2022	18:04:17	0.01
51	09/08/2022	18:05:17	0.013
52	09/08/2022	18:06:17	0.012
53	09/08/2022	18:07:17	0.011
54	09/08/2022	18:08:17	0.012
55	09/08/2022	18:09:17	0.011
56	09/08/2022	18:10:17	0.011
57	09/08/2022	18:11:17	0.01
58	09/08/2022	18:12:17	0.01
59	09/08/2022	18:13:17	0.01
60	09/08/2022	18:14:17	0.01
61	09/08/2022	18:15:17	0.009
62	09/08/2022	18:16:17	0.011
63	09/08/2022	18:17:17	0.011
64	09/08/2022	18:18:17	0.009
65	09/08/2022	18:19:17	0.01
66	09/08/2022	18:20:17	0.009
67	09/08/2022	18:21:17	0.01
68	09/08/2022	18:22:17	0.012
69	09/08/2022	18:23:17	0.009
70	09/08/2022	18:24:17	0.009
71	09/08/2022	18:25:17	0.009
72	09/08/2022	18:26:17	0.01
73	09/08/2022	18:27:17	0.009
74	09/08/2022	18:28:17	0.01
75	09/08/2022	18:29:17	0.011
76	09/08/2022	18:30:17	0.007
77	09/08/2022	18:31:17	0.009
78	09/08/2022	18:32:17	0.01
79	09/08/2022	18:33:17	0.008
80	09/08/2022	18:34:17	0.009
81	09/08/2022	18:35:17	0.009
82	09/08/2022	18:36:17	0.01
83	09/08/2022	18:37:17	0.007
84	09/08/2022	18:38:17	0.008
85	09/08/2022	18:39:17	0.007
86	09/08/2022	18:40:17	0.007
87	09/08/2022	18:41:17	0.008
88	09/08/2022	18:42:17	0.008
89	09/08/2022	18:43:17	0.007
90	09/08/2022	18:44:17	0.009
91	09/08/2022	18:45:17	0.007
92	09/08/2022	18:46:17	0.007
93	09/08/2022	18:47:17	0.007
94	09/08/2022	18:48:17	0.007
95	09/08/2022	18:49:17	0.007
96	09/08/2022	18:50:17	0.007
97	09/08/2022	18:51:17	0.007
98	09/08/2022	18:52:17	0.008
99	09/08/2022	18:53:17	0.008
100	09/08/2022	18:54:17	0.007
101	09/08/2022	18:55:17	0.006
102	09/08/2022	18:56:17	0.006
103	09/08/2022	18:57:17	0.006
104	09/08/2022	18:58:17	0.006
105	09/08/2022	18:59:17	0.007
106	09/08/2022	19:00:17	0.006
107	09/08/2022	19:01:17	0.007
108	09/08/2022	19:02:17	0.006
109	09/08/2022	19:03:17	0.006
110	09/08/2022	19:04:17	0.005
111	09/08/2022	19:05:17	0.007
112	09/08/2022	19:06:17	0.006
113	09/08/2022	19:07:17	0.006
114	09/08/2022	19:08:17	0.007
115	09/08/2022	19:09:17	0.005
116	09/08/2022	19:10:17	0.006
117	09/08/2022	19:11:17	0.005
118	09/08/2022	19:12:17	0.006
119	09/08/2022	19:13:17	0.006
120	09/08/2022	19:14:17	0.006
121	09/08/2022	19:15:17	0.006
122	09/08/2022	19:16:17	0.006
123	09/08/2022	19:17:17	0.006
124	09/08/2022	19:18:17	0.006
125	09/08/2022	19:19:17	0.005
126	09/08/2022	19:20:17	0.005
127	09/08/2022	19:21:17	0.006
128	09/08/2022	19:22:17	0.005
129	09/08/2022	19:23:17	0.006
130	09/08/2022	19:24:17	0.008
131	09/08/2022	19:25:17	0.005
132	09/08/2022	19:26:17	0.005
133	09/08/2022	19:27:17	0.006
134	09/08/2022	19:28:17	0.006
135	09/08/2022	19:29:17	0.005
136	09/08/2022	19:30:17	0.005
137	09/08/2022	19:31:17	0.005
138	09/08/2022	19:32:17	0.005
139	09/08/2022	19:33:17	0.005
140	09/08/2022	19:34:17	0.005
141	09/08/2022	19:35:17	0.004
142	09/08/2022	19:36:17	0.006
143	09/08/2022	19:37:17	0.005
