Data Point 	Date 	Time 	Aerosol mg/m^3
1	12/8/22	17:35:38	0.03
2	12/8/22	17:36:38	0.026
3	12/8/22	17:37:38	0.024
4	12/8/22	17:38:38	0.025
5	12/8/22	17:39:38	0.024
6	12/8/22	17:40:38	0.023
7	12/8/22	17:41:38	0.026
8	12/8/22	17:42:38	0.027
9	12/8/22	17:43:38	0.024
10	12/8/22	17:44:38	0.026
11	12/8/22	17:45:38	0.024
12	12/8/22	17:46:38	0.027
13	12/8/22	17:47:38	0.03
14	12/8/22	17:48:38	0.041
15	12/8/22	17:49:38	0.041
16	12/8/22	17:50:38	0.038
17	12/8/22	17:51:38	0.039
18	12/8/22	17:52:38	0.041
19	12/8/22	17:53:38	0.043
20	12/8/22	17:54:38	0.046
21	12/8/22	17:55:38	0.046
22	12/8/22	17:56:38	0.051
23	12/8/22	17:57:38	0.047
24	12/8/22	17:58:38	0.042
25	12/8/22	17:59:38	0.043
26	12/8/22	18:00:38	0.046
27	12/8/22	18:01:38	0.048
28	12/8/22	18:02:38	0.049
29	12/8/22	18:03:38	0.049
30	12/8/22	18:04:38	0.05
31	12/8/22	18:05:38	0.051
32	12/8/22	18:06:38	0.053
33	12/8/22	18:07:38	0.051
34	12/8/22	18:08:38	0.049
35	12/8/22	18:09:38	0.046
36	12/8/22	18:10:38	0.047
37	12/8/22	18:11:38	0.048
38	12/8/22	18:12:38	0.047
39	12/8/22	18:13:38	0.045
40	12/8/22	18:14:38	0.046
41	12/8/22	18:15:38	0.046
42	12/8/22	18:16:38	0.038
43	12/8/22	18:17:38	0.038
44	12/8/22	18:18:38	0.042
45	12/8/22	18:19:38	0.038
46	12/8/22	18:20:38	0.034
47	12/8/22	18:21:38	0.032
48	12/8/22	18:22:38	0.03
49	12/8/22	18:23:38	0.035
50	12/8/22	18:24:38	0.032
51	12/8/22	18:25:38	0.033
52	12/8/22	18:26:38	0.033
53	12/8/22	18:27:38	0.033
54	12/8/22	18:28:38	0.032
55	12/8/22	18:29:38	0.033
56	12/8/22	18:30:38	0.036
57	12/8/22	18:31:38	0.036
58	12/8/22	18:32:38	0.033
59	12/8/22	18:33:38	0.036
60	12/8/22	18:34:38	0.035
61	12/8/22	18:35:38	0.036
62	12/8/22	18:36:38	0.033
63	12/8/22	18:37:38	0.035
64	12/8/22	18:38:38	0.035
65	12/8/22	18:39:38	0.039
66	12/8/22	18:40:38	0.039
67	12/8/22	18:41:38	0.038
68	12/8/22	18:42:38	0.037
69	12/8/22	18:43:38	0.038
70	12/8/22	18:44:38	0.038
71	12/8/22	18:45:38	0.039
72	12/8/22	18:46:38	0.038
73	12/8/22	18:47:38	0.041
74	12/8/22	18:48:38	0.041
75	12/8/22	18:49:38	0.038
76	12/8/22	18:50:38	0.038
77	12/8/22	18:51:38	0.044
78	12/8/22	18:52:38	0.046
79	12/8/22	18:53:38	0.042
80	12/8/22	18:54:38	0.041
81	12/8/22	18:55:38	0.039
82	12/8/22	18:56:38	0.04
83	12/8/22	18:57:38	0.04
84	12/8/22	18:58:38	0.04
85	12/8/22	18:59:38	0.042
86	12/8/22	19:00:38	0.047
87	12/8/22	19:01:38	0.044
88	12/8/22	19:02:38	0.044
89	12/8/22	19:03:38	0.042
90	12/8/22	19:04:38	0.042
91	12/8/22	19:05:38	0.046
92	12/8/22	19:06:38	0.042
93	12/8/22	19:07:38	0.043
94	12/8/22	19:08:38	0.043
95	12/8/22	19:09:38	0.043
96	12/8/22	19:10:38	0.04
97	12/8/22	19:11:38	0.042
98	12/8/22	19:12:38	0.042
99	12/8/22	19:13:38	0.042
100	12/8/22	19:14:38	0.042
101	12/8/22	19:15:38	0.041
102	12/8/22	19:16:38	0.042
103	12/8/22	19:17:38	0.041
104	12/8/22	19:18:38	0.042
105	12/8/22	19:19:38	0.042
106	12/8/22	19:20:38	0.038
107	12/8/22	19:21:38	0.04
108	12/8/22	19:22:38	0.038
109	12/8/22	19:23:38	0.037
110	12/8/22	19:24:38	0.038
111	12/8/22	19:25:38	0.037
112	12/8/22	19:26:38	0.039
113	12/8/22	19:27:38	0.038
114	12/8/22	19:28:38	0.039
115	12/8/22	19:29:38	0.036
116	12/8/22	19:30:38	0.041
117	12/8/22	19:31:38	0.035
118	12/8/22	19:32:38	0.037
119	12/8/22	19:33:38	0.047
120	12/8/22	19:34:38	0.042
121	12/8/22	19:35:38	0.036
122	12/8/22	19:36:38	0.036
123	12/8/22	19:37:38	0.037
124	12/8/22	19:38:38	0.037
125	12/8/22	19:39:38	0.037
126	12/8/22	19:40:38	0.039
127	12/8/22	19:41:38	0.038
128	12/8/22	19:42:38	0.036
129	12/8/22	19:43:38	0.036
130	12/8/22	19:44:38	0.033
131	12/8/22	19:45:38	0.035
132	12/8/22	19:46:38	0.035
133	12/8/22	19:47:38	0.035
134	12/8/22	19:48:38	0.036
135	12/8/22	19:49:38	0.037
136	12/8/22	19:50:38	0.038
137	12/8/22	19:51:38	0.039
138	12/8/22	19:52:38	0.039
139	12/8/22	19:53:38	0.039
140	12/8/22	19:54:38	0.041
141	12/8/22	19:55:38	0.038
142	12/8/22	19:56:38	0.04
143	12/8/22	19:57:38	0.042
144	12/8/22	19:58:38	0.041
145	12/8/22	19:59:38	0.037
146	12/8/22	20:00:38	0.039
147	12/8/22	20:01:38	0.038
148	12/8/22	20:02:38	0.039
149	12/8/22	20:03:38	0.04
