H04_V2_Out	Date	Time	Ch1_Value	Ch1_Unit	Ch2_Value	Ch2_unit
1	1/25/2023	16:40:31	23.8	       %RH	13.5	  DEGREE C
2	1/25/2023	16:45:31	35.5	       %RH	7.4	  DEGREE C
3	1/25/2023	16:50:31	45.9	       %RH	4.2	  DEGREE C
4	1/25/2023	16:55:31	55.2	       %RH	2.4	  DEGREE C
5	1/25/2023	17:00:31	60.5	       %RH	1.1	  DEGREE C
6	1/25/2023	17:05:31	66.6	       %RH	0	  DEGREE C
7	1/25/2023	17:10:31	69.6	       %RH	-0.4	  DEGREE C
8	1/25/2023	17:15:31	72	       %RH	-0.8	  DEGREE C
9	1/25/2023	17:20:31	74.9	       %RH	-1.3	  DEGREE C
10	1/25/2023	17:25:31	78.5	       %RH	-1.6	  DEGREE C
11	1/25/2023	17:30:31	79.7	       %RH	-2	  DEGREE C
12	1/25/2023	17:35:31	81.3	       %RH	-2.2	  DEGREE C
13	1/25/2023	17:40:31	82	       %RH	-2.5	  DEGREE C
14	1/25/2023	17:45:31	82.3	       %RH	-2.8	  DEGREE C
15	1/25/2023	17:50:31	83.3	       %RH	-3.1	  DEGREE C
16	1/25/2023	17:55:31	84.6	       %RH	-3.3	  DEGREE C
17	1/25/2023	18:00:31	84.6	       %RH	-3.5	  DEGREE C
18	1/25/2023	18:05:31	85.2	       %RH	-3.6	  DEGREE C
19	1/25/2023	18:10:31	85.9	       %RH	-3.7	  DEGREE C
20	1/25/2023	18:15:31	86.5	       %RH	-3.8	  DEGREE C
21	1/25/2023	18:20:31	86.7	       %RH	-3.8	  DEGREE C
22	1/25/2023	18:25:31	86.8	       %RH	-3.8	  DEGREE C
23	1/25/2023	18:30:31	87.2	       %RH	-3.8	  DEGREE C
24	1/25/2023	18:35:31	87.2	       %RH	-3.8	  DEGREE C
25	1/25/2023	18:40:31	87.2	       %RH	-3.7	  DEGREE C
26	1/25/2023	18:45:31	87.2	       %RH	-3.8	  DEGREE C
27	1/25/2023	18:50:31	87.7	       %RH	-4	  DEGREE C
28	1/25/2023	18:55:31	87.5	       %RH	-3.8	  DEGREE C
29	1/25/2023	19:00:31	87.2	       %RH	-3.6	  DEGREE C
30	1/25/2023	19:05:31	88.1	       %RH	-3.9	  DEGREE C
31	1/25/2023	19:10:31	89	       %RH	-4	  DEGREE C
32	1/25/2023	19:15:31	89.5	       %RH	-4.2	  DEGREE C
33	1/25/2023	19:20:31	89.5	       %RH	-4.3	  DEGREE C
34	1/25/2023	19:25:31	90.1	       %RH	-4.4	  DEGREE C
35	1/25/2023	19:30:31	90.1	       %RH	-4.4	  DEGREE C
36	1/25/2023	19:35:31	90.6	       %RH	-4.3	  DEGREE C
37	1/25/2023	19:40:31	90.7	       %RH	-4.2	  DEGREE C
38	1/25/2023	19:45:31	90.7	       %RH	-4	  DEGREE C
39	1/25/2023	19:50:31	90.8	       %RH	-3.7	  DEGREE C
40	1/25/2023	19:55:31	90.3	       %RH	-3.6	  DEGREE C
41	1/25/2023	20:00:31	90.3	       %RH	-3.5	  DEGREE C
42	1/25/2023	20:05:31	89.7	       %RH	-3.5	  DEGREE C
43	1/25/2023	20:10:31	89.4	       %RH	-3.5	  DEGREE C
44	1/25/2023	20:15:31	88.9	       %RH	-3.5	  DEGREE C
45	1/25/2023	20:20:31	88.5	       %RH	-3.5	  DEGREE C
