Position	Date	Time	Ch1_Value	Ch1_Unit	Ch2_Value	Ch2_unit		
1	3/27/2023	16:57:16	40.8	       %RH	17.9	  DEGREE C		
2	3/27/2023	17:02:16	37.3	       %RH	18.9	  DEGREE C		
3	3/27/2023	17:07:16	34	       %RH	19.5	  DEGREE C		
4	3/27/2023	17:12:16	34.7	       %RH	19.9	  DEGREE C		
5	3/27/2023	17:17:16	34.1	       %RH	20.2	  DEGREE C		
6	3/27/2023	17:22:16	34.1	       %RH	20.4	  DEGREE C		
7	3/27/2023	17:27:16	33.6	       %RH	20.6	  DEGREE C		
8	3/27/2023	17:32:16	33.9	       %RH	20.7	  DEGREE C		
9	3/27/2023	17:37:16	34.1	       %RH	20.7	  DEGREE C		
10	3/27/2023	17:42:16	33.6	       %RH	20.7	  DEGREE C		
11	3/27/2023	17:47:16	34.1	       %RH	20.8	  DEGREE C		
12	3/27/2023	17:52:16	34.1	       %RH	20.8	  DEGREE C		
13	3/27/2023	17:57:16	34.1	       %RH	20.8	  DEGREE C		
14	3/27/2023	18:02:16	34.1	       %RH	20.8	  DEGREE C		
15	3/27/2023	18:07:16	34.1	       %RH	20.8	  DEGREE C		
16	3/27/2023	18:12:16	34.1	       %RH	20.8	  DEGREE C		
17	3/27/2023	18:17:16	34.1	       %RH	20.8	  DEGREE C		
18	3/27/2023	18:22:16	34.1	       %RH	20.7	  DEGREE C		
19	3/27/2023	18:27:16	34.1	       %RH	20.7	  DEGREE C		
20	3/27/2023	18:32:16	34.1	       %RH	20.7	  DEGREE C		
21	3/27/2023	18:37:16	34.1	       %RH	20.6	  DEGREE C		
22	3/27/2023	18:42:16	34.1	       %RH	20.5	  DEGREE C		
23	3/27/2023	18:47:16	34.1	       %RH	20.4	  DEGREE C		
24	3/27/2023	18:52:16	34.1	       %RH	20.4	  DEGREE C		
25	3/27/2023	18:57:16	34.1	       %RH	20.3	  DEGREE C		
26	3/27/2023	19:02:16	34.1	       %RH	20.3	  DEGREE C		
27	3/27/2023	19:07:16	34.1	       %RH	20.2	  DEGREE C		
28	3/27/2023	19:12:16	33.3	       %RH	20.1	  DEGREE C		
29	3/27/2023	19:17:16	31.9	       %RH	20.2	  DEGREE C		
30	3/27/2023	19:22:16	31.9	       %RH	20.2	  DEGREE C		
31	3/27/2023	19:27:16	32.3	       %RH	20	  DEGREE C		
32	3/27/2023	19:32:16	33	       %RH	19.9	  DEGREE C		
33	3/27/2023	19:37:16	33.5	       %RH	19.8	  DEGREE C		
34	3/27/2023	19:42:16	34	       %RH	19.7	  DEGREE C		
35	3/27/2023	19:47:16	32.9	       %RH	19.7	  DEGREE C		
36	3/27/2023	19:52:16	31.9	       %RH	20	  DEGREE C		
37	3/27/2023	19:57:16	32.3	       %RH	19.8	  DEGREE C		
38	3/27/2023	20:02:16	32.9	       %RH	19.6	  DEGREE C		
39	3/27/2023	20:07:16	32.9	       %RH	19.6	  DEGREE C		
40	3/27/2023	20:12:16	32.9	       %RH	19.4	  DEGREE C		
