Position	Date	Time	Ch1_Value	Ch1_Unit	Ch2_Value	Ch2_unit			
1	3/27/2023	17:03:20	17.1	       %RH	14.4	  DEGREE C			
2	3/27/2023	17:08:20	18.1	       %RH	14.2	  DEGREE C			
3	3/27/2023	17:13:20	18.2	       %RH	12.6	  DEGREE C			
4	3/27/2023	17:18:20	18	       %RH	11.8	  DEGREE C			
5	3/27/2023	17:23:20	19.9	       %RH	10.6	  DEGREE C			
6	3/27/2023	17:28:20	19.3	       %RH	12.4	  DEGREE C			
7	3/27/2023	17:33:20	22.6	       %RH	7.6	  DEGREE C			
8	3/27/2023	17:38:20	23.4	       %RH	7.6	  DEGREE C			
9	3/27/2023	17:43:20	23.2	       %RH	6.8	  DEGREE C			
10	3/27/2023	17:48:20	22	       %RH	7.3	  DEGREE C			
11	3/27/2023	17:53:20	19.2	       %RH	9.7	  DEGREE C			
12	3/27/2023	17:58:20	20.5	       %RH	7.9	  DEGREE C			
13	3/27/2023	18:03:20	23.4	       %RH	6.6	  DEGREE C			
14	3/27/2023	18:08:20	23.2	       %RH	5.9	  DEGREE C			
15	3/27/2023	18:13:20	27.7	       %RH	5.4	  DEGREE C			
16	3/27/2023	18:18:20	26	       %RH	5.8	  DEGREE C			
17	3/27/2023	18:23:20	26.6	       %RH	4.9	  DEGREE C			
18	3/27/2023	18:28:20	26.6	       %RH	4.9	  DEGREE C			
19	3/27/2023	18:33:20	30.1	       %RH	4.2	  DEGREE C			
20	3/27/2023	18:38:20	30	       %RH	3.9	  DEGREE C			
21	3/27/2023	18:43:20	32.3	       %RH	3.4	  DEGREE C			
22	3/27/2023	18:48:20	34.4	       %RH	2.9	  DEGREE C			
23	3/27/2023	18:53:20	37.7	       %RH	2.4	  DEGREE C			
24	3/27/2023	18:58:20	39	       %RH	1.9	  DEGREE C			
25	3/27/2023	19:03:20	39.5	       %RH	1.6	  DEGREE C			
26	3/27/2023	19:08:20	39.8	       %RH	1.2	  DEGREE C			
27	3/27/2023	19:13:20	39.2	       %RH	0.9	  DEGREE C			
28	3/27/2023	19:18:20	40.9	       %RH	0.6	  DEGREE C			
