Position	Date	Time	Ch1_Value	Ch1_Unit	Ch2_Value	Ch2_unit		
1	3/22/2023	16:21:40	49.5	       %RH	10.8	  DEGREE C		
2	3/22/2023	16:26:40	60.4	       %RH	8.5	  DEGREE C		
3	3/22/2023	16:31:40	67.1	       %RH	7	  DEGREE C		
4	3/22/2023	16:36:40	72.6	       %RH	5	  DEGREE C		
5	3/22/2023	16:41:40	75.6	       %RH	4.5	  DEGREE C		
6	3/22/2023	16:46:40	79.8	       %RH	4.6	  DEGREE C		
7	3/22/2023	16:51:40	79.5	       %RH	4.5	  DEGREE C		
8	3/22/2023	16:56:40	80	       %RH	4.3	  DEGREE C		
9	3/22/2023	17:01:40	80.3	       %RH	4.3	  DEGREE C		
10	3/22/2023	17:06:40	80.2	       %RH	4.1	  DEGREE C		
11	3/22/2023	17:11:40	80.4	       %RH	4.2	  DEGREE C		
12	3/22/2023	17:16:40	80.6	       %RH	4.2	  DEGREE C		
13	3/22/2023	17:21:40	80	       %RH	4.3	  DEGREE C		
14	3/22/2023	17:26:40	77.5	       %RH	4.4	  DEGREE C		
15	3/22/2023	17:31:40	78.7	       %RH	4.3	  DEGREE C		
16	3/22/2023	17:36:40	79.8	       %RH	4.3	  DEGREE C		
17	3/22/2023	17:41:40	80.9	       %RH	4.1	  DEGREE C		
18	3/22/2023	17:46:40	78.2	       %RH	4.2	  DEGREE C		
19	3/22/2023	17:51:40	79.9	       %RH	4.1	  DEGREE C		
20	3/22/2023	17:56:40	81.1	       %RH	4.1	  DEGREE C		
21	3/22/2023	18:01:40	80.7	       %RH	4	  DEGREE C		
22	3/22/2023	18:06:40	81.9	       %RH	3.9	  DEGREE C		
23	3/22/2023	18:11:40	82.4	       %RH	3.9	  DEGREE C		
24	3/22/2023	18:16:40	81.5	       %RH	3.9	  DEGREE C		
25	3/22/2023	18:21:40	82.2	       %RH	3.8	  DEGREE C		
26	3/22/2023	18:26:40	83.2	       %RH	3.7	  DEGREE C		
27	3/22/2023	18:31:40	81.4	       %RH	3.6	  DEGREE C		
28	3/22/2023	18:36:40	82.4	       %RH	3.4	  DEGREE C		
29	3/22/2023	18:41:40	83.3	       %RH	3.3	  DEGREE C		
30	3/22/2023	18:46:40	84.6	       %RH	3.2	  DEGREE C		
31	3/22/2023	18:51:40	83.8	       %RH	3.3	  DEGREE C		
32	3/22/2023	18:56:40	86	       %RH	3	  DEGREE C		
33	3/22/2023	19:01:40	84.4	       %RH	2.9	  DEGREE C		
34	3/22/2023	19:06:40	85.1	       %RH	2.8	  DEGREE C		
35	3/22/2023	19:11:40	84.7	       %RH	2.9	  DEGREE C		
36	3/22/2023	19:16:40	84.4	       %RH	2.9	  DEGREE C		
37	3/22/2023	19:21:40	83.9	       %RH	3	  DEGREE C		
38	3/22/2023	19:26:40	83.1	       %RH	3	  DEGREE C		
39	3/22/2023	19:31:40	83.3	       %RH	2.8	  DEGREE C		
40	3/22/2023	19:36:40	82.6	       %RH	2.9	  DEGREE C		
41	3/22/2023	19:41:40	82.5	       %RH	2.8	  DEGREE C		
42	3/22/2023	19:46:40	83.1	       %RH	2.8	  DEGREE C		
43	3/22/2023	19:51:40	82.7	       %RH	2.8	  DEGREE C		
44	3/22/2023	19:56:40	81.9	       %RH	2.8	  DEGREE C		
45	3/22/2023	20:01:40	81.9	       %RH	2.8	  DEGREE C		
46	3/22/2023	20:06:40	81.9	       %RH	2.8	  DEGREE C		
47	3/22/2023	20:11:40	81.5	       %RH	2.7	  DEGREE C		
48	3/22/2023	20:16:40	81.3	       %RH	2.6	  DEGREE C		
49	3/22/2023	20:21:40	83.3	       %RH	2	  DEGREE C		
50	3/22/2023	20:26:40	83.5	       %RH	2	  DEGREE C		
51	3/22/2023	20:31:40	83.8	       %RH	1.9	  DEGREE C		
52	3/22/2023	20:36:40	82.4	       %RH	2.1	  DEGREE C		
53	3/22/2023	20:41:40	83	       %RH	2	  DEGREE C		
54	3/22/2023	20:46:40	81.7	       %RH	2.1	  DEGREE C		
55	3/22/2023	20:51:40	80.5	       %RH	2.5	  DEGREE C		
56	3/22/2023	20:56:40	81	       %RH	2.4	  DEGREE C		
57	3/22/2023	21:01:40	80	       %RH	2.6	  DEGREE C		
58	3/22/2023	21:06:40	78.9	       %RH	2.8	  DEGREE C		
59	3/22/2023	21:11:40	79.6	       %RH	2.8	  DEGREE C		
60	3/22/2023	21:16:40	76.6	       %RH	3.2	  DEGREE C		
61	3/22/2023	21:21:40	78.2	       %RH	3.1	  DEGREE C		
62	3/22/2023	21:26:40	78.2	       %RH	3.1	  DEGREE C		
63	3/22/2023	21:31:40	78.7	       %RH	3.2	  DEGREE C		
64	3/22/2023	21:36:40	80.6	       %RH	2.8	  DEGREE C		
65	3/22/2023	21:41:40	81.9	       %RH	2.8	  DEGREE C		
66	3/22/2023	21:46:40	79.7	       %RH	3	  DEGREE C		
67	3/22/2023	21:51:40	81.1	       %RH	2.7	  DEGREE C		
68	3/22/2023	21:56:40	81.1	       %RH	2.7	  DEGREE C		
69	3/22/2023	22:01:40	82.3	       %RH	2.6	  DEGREE C		
70	3/22/2023	22:06:40	81.2	       %RH	2.5	  DEGREE C		
71	3/22/2023	22:11:40	80.3	       %RH	2.5	  DEGREE C		
72	3/22/2023	22:16:40	82.7	       %RH	2.5	  DEGREE C		
73	3/22/2023	22:21:40	80.2	       %RH	2.6	  DEGREE C		
74	3/22/2023	22:26:40	78.9	       %RH	2.7	  DEGREE C		
75	3/22/2023	22:31:40	78.9	       %RH	2.6	  DEGREE C		
76	3/22/2023	22:36:40	77	       %RH	3.1	  DEGREE C		
77	3/22/2023	22:41:40	77.8	       %RH	3	  DEGREE C		
78	3/22/2023	22:46:40	79.5	       %RH	3.1	  DEGREE C		
79	3/22/2023	22:51:40	79	       %RH	3.1	  DEGREE C		
80	3/22/2023	22:56:40	80	       %RH	2.8	  DEGREE C		
81	3/22/2023	23:01:40	80.4	       %RH	2.8	  DEGREE C		
82	3/22/2023	23:06:40	81.1	       %RH	2.6	  DEGREE C		
83	3/22/2023	23:11:40	81.1	       %RH	2.6	  DEGREE C		
84	3/22/2023	23:16:40	79.4	       %RH	2.7	  DEGREE C		
85	3/22/2023	23:21:40	79.3	       %RH	2.8	  DEGREE C		
86	3/22/2023	23:26:40	78.4	       %RH	3	  DEGREE C		
87	3/22/2023	23:31:40	79.7	       %RH	2.9	  DEGREE C		
88	3/22/2023	23:36:40	79.9	       %RH	2.9	  DEGREE C		
89	3/22/2023	23:41:40	79.7	       %RH	3	  DEGREE C		
90	3/22/2023	23:46:40	80.4	       %RH	2.9	  DEGREE C		
91	3/22/2023	23:51:40	80.4	       %RH	2.8	  DEGREE C		
92	3/22/2023	23:56:40	82.2	       %RH	2.8	  DEGREE C		
93	3/23/2023	0:01:40	82.6	       %RH	2.8	  DEGREE C		
94	3/23/2023	0:06:40	78.6	       %RH	3.1	  DEGREE C		
95	3/23/2023	0:11:40	80.1	       %RH	3	  DEGREE C		
96	3/23/2023	0:16:40	79	       %RH	3.1	  DEGREE C		
97	3/23/2023	0:21:40	80.8	       %RH	2.9	  DEGREE C		
98	3/23/2023	0:26:40	81.2	       %RH	3	  DEGREE C		
99	3/23/2023	0:31:40	82.1	       %RH	2.9	  DEGREE C		
100	3/23/2023	0:36:40	83.9	       %RH	2.8	  DEGREE C		
101	3/23/2023	0:41:40	85.5	       %RH	2.7	  DEGREE C		
102	3/23/2023	0:46:40	86.7	       %RH	2.3	  DEGREE C		
103	3/23/2023	0:51:40	88	       %RH	2	  DEGREE C		
104	3/23/2023	0:56:40	88.7	       %RH	2.1	  DEGREE C		
105	3/23/2023	1:01:40	88.2	       %RH	2.1	  DEGREE C		
106	3/23/2023	1:06:40	84.5	       %RH	2.5	  DEGREE C		
107	3/23/2023	1:11:40	86.6	       %RH	2.4	  DEGREE C		
108	3/23/2023	1:16:40	86	       %RH	2.5	  DEGREE C		
109	3/23/2023	1:21:40	85.4	       %RH	2.5	  DEGREE C		
110	3/23/2023	1:26:40	84.2	       %RH	2.6	  DEGREE C		
111	3/23/2023	1:31:40	83.3	       %RH	2.7	  DEGREE C		
112	3/23/2023	1:36:40	84.9	       %RH	2.5	  DEGREE C		
113	3/23/2023	1:41:40	86.1	       %RH	2.5	  DEGREE C		
114	3/23/2023	1:46:40	85.3	       %RH	2.5	  DEGREE C		
115	3/23/2023	1:51:40	83.6	       %RH	2.6	  DEGREE C		
116	3/23/2023	1:56:40	85.2	       %RH	2.5	  DEGREE C		
117	3/23/2023	2:01:40	84.7	       %RH	2.1	  DEGREE C		
118	3/23/2023	2:06:40	88.6	       %RH	1.4	  DEGREE C		
119	3/23/2023	2:11:40	90.3	       %RH	1.3	  DEGREE C		
120	3/23/2023	2:16:40	90.7	       %RH	1.5	  DEGREE C		
121	3/23/2023	2:21:40	90.4	       %RH	1.7	  DEGREE C		
122	3/23/2023	2:26:40	89.8	       %RH	1.8	  DEGREE C		
123	3/23/2023	2:31:40	87.3	       %RH	2	  DEGREE C		
124	3/23/2023	2:36:40	87.4	       %RH	2	  DEGREE C		
125	3/23/2023	2:41:40	85	       %RH	2.2	  DEGREE C		
126	3/23/2023	2:46:40	85.7	       %RH	2.2	  DEGREE C		
127	3/23/2023	2:51:40	85	       %RH	2.3	  DEGREE C		
128	3/23/2023	2:56:40	83.9	       %RH	2.2	  DEGREE C		
129	3/23/2023	3:01:40	87.3	       %RH	1.9	  DEGREE C		
130	3/23/2023	3:06:40	88.6	       %RH	1.7	  DEGREE C		
131	3/23/2023	3:11:40	89.5	       %RH	1.5	  DEGREE C		
132	3/23/2023	3:16:40	90.9	       %RH	1.3	  DEGREE C		
133	3/23/2023	3:21:40	90.9	       %RH	1.4	  DEGREE C		
134	3/23/2023	3:26:40	90.9	       %RH	1.5	  DEGREE C		
135	3/23/2023	3:31:40	91.2	       %RH	1.5	  DEGREE C		
136	3/23/2023	3:36:40	91	       %RH	1.6	  DEGREE C		
137	3/23/2023	3:41:40	90.9	       %RH	1.6	  DEGREE C		
138	3/23/2023	3:46:40	89.8	       %RH	1.7	  DEGREE C		
139	3/23/2023	3:51:40	90.3	       %RH	1.7	  DEGREE C		
140	3/23/2023	3:56:40	90.4	       %RH	1.7	  DEGREE C		
141	3/23/2023	4:01:40	88.8	       %RH	1.8	  DEGREE C		
142	3/23/2023	4:06:40	87.3	       %RH	1.8	  DEGREE C		
143	3/23/2023	4:11:40	88.2	       %RH	1.8	  DEGREE C		
144	3/23/2023	4:16:40	86.9	       %RH	1.9	  DEGREE C		
145	3/23/2023	4:21:40	89.1	       %RH	1.8	  DEGREE C		
146	3/23/2023	4:26:40	89.2	       %RH	1.8	  DEGREE C		
147	3/23/2023	4:31:40	86	       %RH	2	  DEGREE C		
148	3/23/2023	4:36:40	86.4	       %RH	1.9	  DEGREE C		
149	3/23/2023	4:41:40	87.7	       %RH	2	  DEGREE C		
150	3/23/2023	4:46:40	87.1	       %RH	2.1	  DEGREE C		
151	3/23/2023	4:51:40	88.2	       %RH	1.9	  DEGREE C		
152	3/23/2023	4:56:40	85.5	       %RH	2.1	  DEGREE C		
153	3/23/2023	5:01:40	83.8	       %RH	2.2	  DEGREE C		
154	3/23/2023	5:06:40	88.2	       %RH	1.9	  DEGREE C		
155	3/23/2023	5:11:40	89.3	       %RH	1.9	  DEGREE C		
156	3/23/2023	5:16:40	90.4	       %RH	1.8	  DEGREE C		
157	3/23/2023	5:21:40	85.9	       %RH	2	  DEGREE C		
158	3/23/2023	5:26:40	85.3	       %RH	2.1	  DEGREE C		
159	3/23/2023	5:31:40	86.6	       %RH	1.9	  DEGREE C		
160	3/23/2023	5:36:40	90.2	       %RH	1.8	  DEGREE C		
161	3/23/2023	5:41:40	86.8	       %RH	1.9	  DEGREE C		
162	3/23/2023	5:46:40	88.2	       %RH	1.9	  DEGREE C		
163	3/23/2023	5:51:40	87.5	       %RH	1.9	  DEGREE C		
164	3/23/2023	5:56:40	87.5	       %RH	1.9	  DEGREE C		
165	3/23/2023	6:01:40	87.9	       %RH	1.9	  DEGREE C		
