Position	Date	Time	Ch1_Value	Ch1_Unit	Ch2_Value	Ch2_unit
1	8/28/2023	17:58:32	28.7	       %RH	29.7	  DEGREE C
2	8/28/2023	18:03:32	24.8	       %RH	31.6	  DEGREE C
3	8/28/2023	18:08:32	28	       %RH	32.6	  DEGREE C
4	8/28/2023	18:13:32	32.5	       %RH	32.1	  DEGREE C
5	8/28/2023	18:18:32	31.7	       %RH	32	  DEGREE C
6	8/28/2023	18:23:32	27.9	       %RH	33.3	  DEGREE C
7	8/28/2023	18:28:32	25.9	       %RH	33.2	  DEGREE C
8	8/28/2023	18:33:32	27	       %RH	33.1	  DEGREE C
9	8/28/2023	18:38:32	31.2	       %RH	33.2	  DEGREE C
10	8/28/2023	18:43:32	30.3	       %RH	33.1	  DEGREE C
11	8/28/2023	18:48:32	29.1	       %RH	32.8	  DEGREE C
12	8/28/2023	18:53:32	28.6	       %RH	32	  DEGREE C
13	8/28/2023	18:58:32	29.6	       %RH	31.8	  DEGREE C
14	8/28/2023	19:03:32	30.9	       %RH	31.7	  DEGREE C
15	8/28/2023	19:08:32	29.1	       %RH	31.3	  DEGREE C
16	8/28/2023	19:13:32	27.8	       %RH	31.4	  DEGREE C
17	8/28/2023	19:18:32	32.2	       %RH	31.2	  DEGREE C
18	8/28/2023	19:23:32	34	       %RH	31	  DEGREE C
19	8/28/2023	19:28:32	31.8	       %RH	30.7	  DEGREE C
20	8/28/2023	19:33:32	33.9	       %RH	30.4	  DEGREE C
21	8/28/2023	19:38:32	34.3	       %RH	30.1	  DEGREE C
22	8/28/2023	19:43:32	29	       %RH	29.8	  DEGREE C
23	8/28/2023	19:48:32	35	       %RH	29.5	  DEGREE C
24	8/28/2023	19:53:32	37.4	       %RH	29.3	  DEGREE C
25	8/28/2023	19:58:32	39.2	       %RH	29	  DEGREE C
26	8/28/2023	20:03:32	38.9	       %RH	28.6	  DEGREE C
27	8/28/2023	20:08:32	38.4	       %RH	28.4	  DEGREE C
28	8/28/2023	20:13:32	39.5	       %RH	28.1	  DEGREE C
29	8/28/2023	20:18:32	41.1	       %RH	28	  DEGREE C
30	8/28/2023	20:23:32	42	       %RH	27.7	  DEGREE C
31	8/28/2023	20:28:32	41.2	       %RH	27.4	  DEGREE C
32	8/28/2023	20:33:32	42.1	       %RH	27.1	  DEGREE C
33	8/28/2023	20:38:32	42.7	       %RH	26.8	  DEGREE C
34	8/28/2023	20:43:32	43.9	       %RH	26.7	  DEGREE C
35	8/28/2023	20:48:32	40	       %RH	26.6	  DEGREE C
36	8/28/2023	20:53:32	41.7	       %RH	26.5	  DEGREE C
37	8/28/2023	20:58:32	43.7	       %RH	26.4	  DEGREE C
38	8/28/2023	21:03:32	39.3	       %RH	26.3	  DEGREE C
39	8/28/2023	21:08:32	37.8	       %RH	26.1	  DEGREE C
40	8/28/2023	21:13:32	38.7	       %RH	26	  DEGREE C
41	8/28/2023	21:18:32	40.5	       %RH	25.8	  DEGREE C
42	8/28/2023	21:23:32	42.6	       %RH	25.8	  DEGREE C
43	8/28/2023	21:28:32	39.4	       %RH	25.7	  DEGREE C
44	8/28/2023	21:33:32	43.8	       %RH	25.7	  DEGREE C
45	8/28/2023	21:38:32	44.7	       %RH	25.5	  DEGREE C
46	8/28/2023	21:43:32	47.5	       %RH	25.5	  DEGREE C
47	8/28/2023	21:48:32	47.1	       %RH	25.4	  DEGREE C
48	8/28/2023	21:53:32	47	       %RH	25.3	  DEGREE C
49	8/28/2023	21:58:32	47.2	       %RH	25.3	  DEGREE C
50	8/28/2023	22:03:32	41.5	       %RH	25.1	  DEGREE C
51	8/28/2023	22:08:32	46.7	       %RH	25.1	  DEGREE C
52	8/28/2023	22:13:32	48.5	       %RH	25	  DEGREE C
53	8/28/2023	22:18:32	47.4	       %RH	24.9	  DEGREE C
54	8/28/2023	22:23:32	46.5	       %RH	24.8	  DEGREE C
55	8/28/2023	22:28:32	48.8	       %RH	24.7	  DEGREE C
56	8/28/2023	22:33:32	48.6	       %RH	24.6	  DEGREE C
57	8/28/2023	22:38:32	45.6	       %RH	24.5	  DEGREE C
58	8/28/2023	22:43:32	49.3	       %RH	24.4	  DEGREE C
59	8/28/2023	22:48:32	50.1	       %RH	24.3	  DEGREE C
60	8/28/2023	22:53:32	44.2	       %RH	24.1	  DEGREE C
61	8/28/2023	22:58:32	48.2	       %RH	24.1	  DEGREE C
62	8/28/2023	23:03:32	50	       %RH	23.9	  DEGREE C
63	8/28/2023	23:08:32	51.4	       %RH	23.8	  DEGREE C
64	8/28/2023	23:13:32	51.5	       %RH	23.7	  DEGREE C
65	8/28/2023	23:18:32	48.3	       %RH	23.6	  DEGREE C
66	8/28/2023	23:23:32	46.7	       %RH	23.5	  DEGREE C
67	8/28/2023	23:28:32	51.1	       %RH	23.5	  DEGREE C
68	8/28/2023	23:33:32	52.5	       %RH	23.4	  DEGREE C
69	8/28/2023	23:38:32	50.4	       %RH	23.4	  DEGREE C
70	8/28/2023	23:43:32	48.3	       %RH	23.2	  DEGREE C
71	8/28/2023	23:48:32	53.7	       %RH	23.2	  DEGREE C
72	8/28/2023	23:53:32	50.5	       %RH	23.1	  DEGREE C
73	8/28/2023	23:58:32	49.3	       %RH	23	  DEGREE C
