Position	Date	Time	Ch1_Value	Ch1_Unit	Ch2_Value	Ch2_unit
1	8/24/2023	17:42:53	33.3	       %RH	24.5	  DEGREE C
2	8/24/2023	17:47:53	33.3	       %RH	24.1	  DEGREE C
3	8/24/2023	17:52:53	32.8	       %RH	23.9	  DEGREE C
4	8/24/2023	17:57:53	33.3	       %RH	23.7	  DEGREE C
5	8/24/2023	18:02:53	32.7	       %RH	23.7	  DEGREE C
6	8/24/2023	18:07:53	32.4	       %RH	23.8	  DEGREE C
7	8/24/2023	18:12:53	32.1	       %RH	23.7	  DEGREE C
8	8/24/2023	18:17:53	32.2	       %RH	23.7	  DEGREE C
9	8/24/2023	18:22:53	32.7	       %RH	23.7	  DEGREE C
10	8/24/2023	18:27:53	33.1	       %RH	23.7	  DEGREE C
11	8/24/2023	18:32:53	32.1	       %RH	23.6	  DEGREE C
12	8/24/2023	18:37:53	32	       %RH	23.4	  DEGREE C
13	8/24/2023	18:42:53	32	       %RH	23.4	  DEGREE C
14	8/24/2023	18:47:53	32	       %RH	23.4	  DEGREE C
15	8/24/2023	18:52:53	32	       %RH	23.4	  DEGREE C
16	8/24/2023	18:57:53	32.3	       %RH	23.4	  DEGREE C
17	8/24/2023	19:02:53	32	       %RH	23.3	  DEGREE C
18	8/24/2023	19:07:53	32	       %RH	23.2	  DEGREE C
19	8/24/2023	19:12:53	32	       %RH	23.3	  DEGREE C
20	8/24/2023	19:17:53	32	       %RH	23.3	  DEGREE C
21	8/24/2023	19:22:53	32.6	       %RH	23.3	  DEGREE C
22	8/24/2023	19:27:53	33.1	       %RH	23.4	  DEGREE C
23	8/24/2023	19:32:53	33.2	       %RH	23.4	  DEGREE C
24	8/24/2023	19:37:53	33.2	       %RH	23.4	  DEGREE C
25	8/24/2023	19:42:53	33.2	       %RH	23.4	  DEGREE C
26	8/24/2023	19:47:53	33.2	       %RH	23.4	  DEGREE C
27	8/24/2023	19:52:53	33.2	       %RH	23.4	  DEGREE C
28	8/24/2023	19:57:53	33.8	       %RH	23.4	  DEGREE C
29	8/24/2023	20:02:53	34.4	       %RH	23.4	  DEGREE C
30	8/24/2023	20:07:53	34.4	       %RH	23.4	  DEGREE C
31	8/24/2023	20:12:53	34.4	       %RH	23.5	  DEGREE C
32	8/24/2023	20:17:53	34.4	       %RH	23.4	  DEGREE C
