Position	Date	Time	Ch1_Value	Ch1_Unit	Ch2_Value	Ch2_unit
1	9/9/2022	16:21:09	15.6	       %RH	36.6	  DEGREE C
2	9/9/2022	16:26:09	7.9	       %RH	41.8	  DEGREE C
3	9/9/2022	16:31:09	7.8	       %RH	44.6	  DEGREE C
4	9/9/2022	16:36:09	8.8	       %RH	40.9	  DEGREE C
5	9/9/2022	16:41:09	11.1	       %RH	38.8	  DEGREE C
6	9/9/2022	16:46:09	10.4	       %RH	38.8	  DEGREE C
7	9/9/2022	16:51:09	9.2	       %RH	38.4	  DEGREE C
8	9/9/2022	16:56:09	10.4	       %RH	37.7	  DEGREE C
9	9/9/2022	17:01:09	11.7	       %RH	36.9	  DEGREE C
10	9/9/2022	17:06:09	10.4	       %RH	36.5	  DEGREE C
11	9/9/2022	17:11:09	12.9	       %RH	35.7	  DEGREE C
12	9/9/2022	17:16:09	11.6	       %RH	35.2	  DEGREE C
13	9/9/2022	17:21:09	14.1	       %RH	34.2	  DEGREE C
14	9/9/2022	17:26:09	14.2	       %RH	33.4	  DEGREE C
15	9/9/2022	17:31:09	12.8	       %RH	33.6	  DEGREE C
16	9/9/2022	17:36:09	12.9	       %RH	33.5	  DEGREE C
17	9/9/2022	17:41:09	14.1	       %RH	33.1	  DEGREE C
18	9/9/2022	17:46:09	14.2	       %RH	32.6	  DEGREE C
19	9/9/2022	17:51:09	16.7	       %RH	31.8	  DEGREE C
20	9/9/2022	17:56:09	15.3	       %RH	31.5	  DEGREE C
21	9/9/2022	18:01:09	16.4	       %RH	31.2	  DEGREE C
22	9/9/2022	18:06:09	16.5	       %RH	30.7	  DEGREE C
23	9/9/2022	18:11:09	15.7	       %RH	30.4	  DEGREE C
24	9/9/2022	18:16:09	17.8	       %RH	30	  DEGREE C
25	9/9/2022	18:21:09	17.7	       %RH	29.7	  DEGREE C
26	9/9/2022	18:26:09	18.6	       %RH	29	  DEGREE C
27	9/9/2022	18:31:09	17.5	       %RH	28.5	  DEGREE C
28	9/9/2022	18:36:09	15	       %RH	28.5	  DEGREE C
29	9/9/2022	18:41:09	15.3	       %RH	28	  DEGREE C
30	9/9/2022	18:46:09	15.6	       %RH	27.7	  DEGREE C
31	9/9/2022	18:51:09	15.1	       %RH	27.4	  DEGREE C
32	9/9/2022	18:56:09	16.3	       %RH	27	  DEGREE C
33	9/9/2022	19:01:09	16.2	       %RH	26.8	  DEGREE C
34	9/9/2022	19:06:09	16.3	       %RH	26.5	  DEGREE C
35	9/9/2022	19:11:09	16.3	       %RH	26.1	  DEGREE C
36	9/9/2022	19:16:09	16.3	       %RH	25.8	  DEGREE C
37	9/9/2022	19:21:09	16.2	       %RH	25.5	  DEGREE C
38	9/9/2022	19:26:09	16.1	       %RH	25.2	  DEGREE C
39	9/9/2022	19:31:09	16.2	       %RH	24.9	  DEGREE C
40	9/9/2022	19:36:09	15.1	       %RH	24.7	  DEGREE C
41	9/9/2022	19:41:09	15.4	       %RH	24.4	  DEGREE C
42	9/9/2022	19:46:09	15.1	       %RH	24.2	  DEGREE C
43	9/9/2022	19:51:09	16.2	       %RH	23.9	  DEGREE C
44	9/9/2022	19:56:09	16.1	       %RH	23.8	  DEGREE C
45	9/9/2022	20:01:09	17.7	       %RH	23.3	  DEGREE C
46	9/9/2022	20:06:09	19	       %RH	22.7	  DEGREE C
47	9/9/2022	20:11:09	18.6	       %RH	22.7	  DEGREE C
48	9/9/2022	20:16:09	18.5	       %RH	22.2	  DEGREE C
49	9/9/2022	20:21:09	19.4	       %RH	21.9	  DEGREE C
50	9/9/2022	20:26:09	21.9	       %RH	21.5	  DEGREE C
51	9/9/2022	20:31:09	20.8	       %RH	21	  DEGREE C
