Position	Date	Time	Ch1_Value	Ch1_Unit	Ch2_Value	Ch2_unit
1	9/1/2022	19:29:37	44.5	       %RH	26.5	  DEGREE C
2	9/1/2022	19:34:37	43.1	       %RH	26.5	  DEGREE C
3	9/1/2022	19:39:37	42.9	       %RH	26.1	  DEGREE C
4	9/1/2022	19:44:37	42.8	       %RH	25.8	  DEGREE C
5	9/1/2022	19:49:37	42.8	       %RH	25.6	  DEGREE C
6	9/1/2022	19:54:37	42.8	       %RH	25.3	  DEGREE C
7	9/1/2022	19:59:37	42.2	       %RH	25.2	  DEGREE C
8	9/1/2022	20:04:37	41.6	       %RH	25.1	  DEGREE C
9	9/1/2022	20:09:37	41.6	       %RH	25	  DEGREE C
10	9/1/2022	20:14:37	42.7	       %RH	25	  DEGREE C
11	9/1/2022	20:19:37	42.7	       %RH	24.9	  DEGREE C
12	9/1/2022	20:24:37	43	       %RH	24.9	  DEGREE C
13	9/1/2022	20:29:37	42.7	       %RH	25	  DEGREE C
14	9/1/2022	20:34:37	42.7	       %RH	25.1	  DEGREE C
15	9/1/2022	20:39:37	42.8	       %RH	25.3	  DEGREE C
16	9/1/2022	20:44:37	42.8	       %RH	25.4	  DEGREE C
17	9/1/2022	20:49:37	42.8	       %RH	25.5	  DEGREE C
18	9/1/2022	20:54:37	42.8	       %RH	25.6	  DEGREE C
19	9/1/2022	20:59:37	42.5	       %RH	25.6	  DEGREE C
20	9/1/2022	21:04:37	42.5	       %RH	25.7	  DEGREE C
21	9/1/2022	21:09:37	42.5	       %RH	25.7	  DEGREE C
22	9/1/2022	21:14:37	42.2	       %RH	25.8	  DEGREE C
23	9/1/2022	21:19:37	42.4	       %RH	25.8	  DEGREE C
24	9/1/2022	21:24:37	42.3	       %RH	25.9	  DEGREE C
25	9/1/2022	21:29:37	42.3	       %RH	25.9	  DEGREE C
26	9/1/2022	21:34:37	42.3	       %RH	25.9	  DEGREE C
27	9/1/2022	21:39:37	42.3	       %RH	26	  DEGREE C
28	9/1/2022	21:44:37	41.7	       %RH	26	  DEGREE C
29	9/1/2022	21:49:37	41.7	       %RH	26	  DEGREE C
30	9/1/2022	21:54:37	42.3	       %RH	26	  DEGREE C
31	9/1/2022	21:59:37	41.7	       %RH	26	  DEGREE C
32	9/1/2022	22:04:37	41.8	       %RH	26	  DEGREE C
33	9/1/2022	22:09:37	41.7	       %RH	26.1	  DEGREE C
34	9/1/2022	22:14:37	41.7	       %RH	26.1	  DEGREE C
35	9/1/2022	22:19:37	41.7	       %RH	26	  DEGREE C
36	9/1/2022	22:24:37	41.7	       %RH	26	  DEGREE C
37	9/1/2022	22:29:37	41.4	       %RH	26	  DEGREE C
38	9/1/2022	22:34:37	40.5	       %RH	26	  DEGREE C
39	9/1/2022	22:39:37	40.5	       %RH	26	  DEGREE C
40	9/1/2022	22:44:37	40.5	       %RH	26	  DEGREE C
41	9/1/2022	22:49:37	39.4	       %RH	26	  DEGREE C
42	9/1/2022	22:54:37	39.4	       %RH	26	  DEGREE C
43	9/1/2022	22:59:37	39.4	       %RH	25.9	  DEGREE C
44	9/1/2022	23:04:37	38.2	       %RH	25.9	  DEGREE C
45	9/1/2022	23:09:37	39.4	       %RH	25.9	  DEGREE C
46	9/1/2022	23:14:37	39.4	       %RH	25.9	  DEGREE C
47	9/1/2022	23:19:37	38.2	       %RH	25.9	  DEGREE C
48	9/1/2022	23:24:37	35.6	       %RH	25.9	  DEGREE C
49	9/1/2022	23:29:37	37.5	       %RH	25.9	  DEGREE C
50	9/1/2022	23:34:37	36.6	       %RH	25.9	  DEGREE C
51	9/1/2022	23:39:37	37.2	       %RH	25.8	  DEGREE C
52	9/1/2022	23:44:37	37.2	       %RH	25.8	  DEGREE C
53	9/1/2022	23:49:37	37	       %RH	25.7	  DEGREE C
54	9/1/2022	23:54:37	37	       %RH	25.7	  DEGREE C
55	9/1/2022	23:59:37	37	       %RH	25.7	  DEGREE C
56	9/2/2022	0:04:37	36.1	       %RH	25.6	  DEGREE C
57	9/2/2022	0:09:37	36.7	       %RH	25.6	  DEGREE C
58	9/2/2022	0:14:37	36.7	       %RH	25.6	  DEGREE C
59	9/2/2022	0:19:37	35.8	       %RH	25.6	  DEGREE C
60	9/2/2022	0:24:37	36.4	       %RH	25.6	  DEGREE C
61	9/2/2022	0:29:37	36.4	       %RH	25.6	  DEGREE C
62	9/2/2022	0:34:37	36.4	       %RH	25.6	  DEGREE C
63	9/2/2022	0:39:37	37	       %RH	25.6	  DEGREE C
64	9/2/2022	0:44:37	37	       %RH	25.6	  DEGREE C
65	9/2/2022	0:49:37	36.7	       %RH	25.6	  DEGREE C
66	9/2/2022	0:54:37	37	       %RH	25.6	  DEGREE C
67	9/2/2022	0:59:37	35.8	       %RH	25.6	  DEGREE C
68	9/2/2022	1:04:37	36.3	       %RH	25.6	  DEGREE C
69	9/2/2022	1:09:37	36.4	       %RH	25.6	  DEGREE C
70	9/2/2022	1:14:37	36.1	       %RH	25.5	  DEGREE C
71	9/2/2022	1:19:37	35.8	       %RH	25.5	  DEGREE C
72	9/2/2022	1:24:37	35.8	       %RH	25.5	  DEGREE C
73	9/2/2022	1:29:37	35.8	       %RH	25.5	  DEGREE C
74	9/2/2022	1:34:37	35.8	       %RH	25.4	  DEGREE C
75	9/2/2022	1:39:37	35.8	       %RH	25.4	  DEGREE C
76	9/2/2022	1:44:37	35.8	       %RH	25.3	  DEGREE C
77	9/2/2022	1:49:37	35.8	       %RH	25.3	  DEGREE C
78	9/2/2022	1:54:37	35.8	       %RH	25.2	  DEGREE C
79	9/2/2022	1:59:37	35.8	       %RH	25.2	  DEGREE C
80	9/2/2022	2:04:37	35.8	       %RH	25.2	  DEGREE C
81	9/2/2022	2:09:37	35.8	       %RH	25.2	  DEGREE C
82	9/2/2022	2:14:37	35.8	       %RH	25.1	  DEGREE C
83	9/2/2022	2:19:37	35.8	       %RH	25.1	  DEGREE C
84	9/2/2022	2:24:37	35.8	       %RH	25.1	  DEGREE C
85	9/2/2022	2:29:37	35.2	       %RH	25.1	  DEGREE C
86	9/2/2022	2:34:37	35.2	       %RH	25	  DEGREE C
87	9/2/2022	2:39:37	35.2	       %RH	25	  DEGREE C
88	9/2/2022	2:44:37	34.6	       %RH	25	  DEGREE C
89	9/2/2022	2:49:37	34.6	       %RH	24.9	  DEGREE C
90	9/2/2022	2:54:37	34.6	       %RH	24.9	  DEGREE C
91	9/2/2022	2:59:37	34.6	       %RH	24.9	  DEGREE C
92	9/2/2022	3:04:37	34.6	       %RH	24.9	  DEGREE C
93	9/2/2022	3:09:37	34.6	       %RH	24.8	  DEGREE C
94	9/2/2022	3:14:37	34.6	       %RH	24.8	  DEGREE C
95	9/2/2022	3:19:37	34.6	       %RH	24.8	  DEGREE C
96	9/2/2022	3:24:37	34.6	       %RH	24.7	  DEGREE C
97	9/2/2022	3:29:37	34.6	       %RH	24.7	  DEGREE C
98	9/2/2022	3:34:37	34.6	       %RH	24.7	  DEGREE C
99	9/2/2022	3:39:37	34.6	       %RH	24.7	  DEGREE C
100	9/2/2022	3:44:37	34.6	       %RH	24.7	  DEGREE C
101	9/2/2022	3:49:37	34.6	       %RH	24.6	  DEGREE C
102	9/2/2022	3:54:37	34.5	       %RH	24.6	  DEGREE C
103	9/2/2022	3:59:37	34.5	       %RH	24.6	  DEGREE C
104	9/2/2022	4:04:37	34.5	       %RH	24.6	  DEGREE C
105	9/2/2022	4:09:37	34.5	       %RH	24.5	  DEGREE C
106	9/2/2022	4:14:37	34.5	       %RH	24.5	  DEGREE C
107	9/2/2022	4:19:37	34.5	       %RH	24.5	  DEGREE C
108	9/2/2022	4:24:37	34.5	       %RH	24.5	  DEGREE C
109	9/2/2022	4:29:37	34.5	       %RH	24.5	  DEGREE C
110	9/2/2022	4:34:37	34.5	       %RH	24.5	  DEGREE C
111	9/2/2022	4:39:37	34.5	       %RH	24.5	  DEGREE C
112	9/2/2022	4:44:37	34.5	       %RH	24.5	  DEGREE C
113	9/2/2022	4:49:37	34.5	       %RH	24.5	  DEGREE C
114	9/2/2022	4:54:37	34.5	       %RH	24.4	  DEGREE C
115	9/2/2022	4:59:37	34.5	       %RH	24.4	  DEGREE C
116	9/2/2022	5:04:37	34.5	       %RH	24.3	  DEGREE C
117	9/2/2022	5:09:37	34.5	       %RH	24.3	  DEGREE C
118	9/2/2022	5:14:37	34.5	       %RH	24.3	  DEGREE C
119	9/2/2022	5:19:37	34.5	       %RH	24.3	  DEGREE C
120	9/2/2022	5:24:37	33.9	       %RH	24.2	  DEGREE C
121	9/2/2022	5:29:37	33.9	       %RH	24.2	  DEGREE C
122	9/2/2022	5:34:37	33.9	       %RH	24.2	  DEGREE C
123	9/2/2022	5:39:37	33.9	       %RH	24.2	  DEGREE C
124	9/2/2022	5:44:37	33.9	       %RH	24.1	  DEGREE C
125	9/2/2022	5:49:37	33.9	       %RH	24.1	  DEGREE C
126	9/2/2022	5:54:37	33.3	       %RH	24.1	  DEGREE C
127	9/2/2022	5:59:37	33.7	       %RH	24.1	  DEGREE C
128	9/2/2022	6:04:37	33.9	       %RH	24	  DEGREE C
129	9/2/2022	6:09:37	33.3	       %RH	24	  DEGREE C
130	9/2/2022	6:14:37	33.3	       %RH	24	  DEGREE C
131	9/2/2022	6:19:37	33.3	       %RH	23.9	  DEGREE C
132	9/2/2022	6:24:37	33.3	       %RH	23.9	  DEGREE C
133	9/2/2022	6:29:37	33.3	       %RH	23.9	  DEGREE C
134	9/2/2022	6:34:37	33.3	       %RH	23.9	  DEGREE C
135	9/2/2022	6:39:37	33.3	       %RH	23.8	  DEGREE C
136	9/2/2022	6:44:37	33.3	       %RH	23.8	  DEGREE C
137	9/2/2022	6:49:37	33.3	       %RH	23.7	  DEGREE C
138	9/2/2022	6:54:37	33.3	       %RH	23.7	  DEGREE C
139	9/2/2022	6:59:37	33.3	       %RH	23.7	  DEGREE C
140	9/2/2022	7:04:37	33.3	       %RH	23.7	  DEGREE C
141	9/2/2022	7:09:37	33.3	       %RH	23.6	  DEGREE C
142	9/2/2022	7:14:37	33.3	       %RH	23.6	  DEGREE C
143	9/2/2022	7:19:37	33	       %RH	23.6	  DEGREE C
144	9/2/2022	7:24:37	32.2	       %RH	23.6	  DEGREE C
145	9/2/2022	7:29:37	32.5	       %RH	23.6	  DEGREE C
146	9/2/2022	7:34:37	32.1	       %RH	23.6	  DEGREE C
147	9/2/2022	7:39:37	32.5	       %RH	23.6	  DEGREE C
148	9/2/2022	7:44:37	32.7	       %RH	23.6	  DEGREE C
149	9/2/2022	7:49:37	32.1	       %RH	23.6	  DEGREE C
150	9/2/2022	7:54:37	34.6	       %RH	23.5	  DEGREE C
151	9/2/2022	7:59:37	36.2	       %RH	23.3	  DEGREE C
152	9/2/2022	8:04:37	36.7	       %RH	23.1	  DEGREE C
153	9/2/2022	8:09:37	37.3	       %RH	22.9	  DEGREE C
154	9/2/2022	8:14:37	37.9	       %RH	22.8	  DEGREE C
155	9/2/2022	8:19:37	37.8	       %RH	22.6	  DEGREE C
156	9/2/2022	8:24:37	38.4	       %RH	22.5	  DEGREE C
157	9/2/2022	8:29:37	38.8	       %RH	22.3	  DEGREE C
158	9/2/2022	8:34:37	38.1	       %RH	22.6	  DEGREE C
159	9/2/2022	8:39:37	37.9	       %RH	22.9	  DEGREE C
160	9/2/2022	8:44:37	37.9	       %RH	23.1	  DEGREE C
161	9/2/2022	8:49:37	37.9	       %RH	23.3	  DEGREE C
162	9/2/2022	8:54:37	38.5	       %RH	23.4	  DEGREE C
163	9/2/2022	8:59:37	38.5	       %RH	23.5	  DEGREE C
164	9/2/2022	9:04:37	39.1	       %RH	23.7	  DEGREE C
165	9/2/2022	9:09:37	39.7	       %RH	23.8	  DEGREE C
166	9/2/2022	9:14:37	40.3	       %RH	23.9	  DEGREE C
167	9/2/2022	9:19:37	40.3	       %RH	24	  DEGREE C
168	9/2/2022	9:24:37	40.3	       %RH	24.1	  DEGREE C
169	9/2/2022	9:29:37	40.3	       %RH	24.3	  DEGREE C
170	9/2/2022	9:34:37	40.4	       %RH	24.4	  DEGREE C
171	9/2/2022	9:39:37	40.4	       %RH	24.6	  DEGREE C
172	9/2/2022	9:44:37	41	       %RH	24.6	  DEGREE C
173	9/2/2022	9:49:37	40.4	       %RH	24.8	  DEGREE C
174	9/2/2022	9:54:37	39.8	       %RH	24.9	  DEGREE C
175	9/2/2022	9:59:37	39.6	       %RH	25	  DEGREE C
176	9/2/2022	10:04:37	39.3	       %RH	25	  DEGREE C
177	9/2/2022	10:09:37	39.8	       %RH	25	  DEGREE C
178	9/2/2022	10:14:37	41.6	       %RH	24.9	  DEGREE C
179	9/2/2022	10:19:37	41	       %RH	25	  DEGREE C
180	9/2/2022	10:24:37	41.6	       %RH	25.1	  DEGREE C
