House.Number,Visit,house.number.visit,ac.type,first.day,Monitor.closest,PM2.5.UDAQ.ug.m3,season,day.type,SidePak.ug.m3.avg_In,SidePak.ug.m3.avg_Out,I/O_PM,Cs,Cs.lower,Cs.upper,Fin,Fin.lower,Fin.upper,p.value,R2,sig,I/O_O3
H02,V2,H02 V2,AC,2022-11-21T00:00:00Z,Spanish Fork,13.92,Winter,Normal,1.7086505190311418,5.973702422145329,0.28602873030583875,1.808406952534777,1.7502094456757407,1.8666044593938134,-0.016699263949576222,-0.02244319431679768,-0.010955333582354763,1.4260120453823652e-8,0.02204221024,sig,NA
H02,V3,H02 V3,AC,2023-08-15T00:00:00Z,Spanish Fork,12.108695652173914,Summer,Normal,3.2781954887218046,5.81453634085213,0.5637931034482759,3.3754054749849645,3.1129694054349475,3.6378415445349814,-0.01671844160302068,-0.05959198479306371,0.02615510158702235,0.44376269744050345,0.00147818266,non-sig,0.0913978494623656
H03,V1,H03 V1,AC,2022-07-27T00:00:00Z,Spanish Fork,7.0125,Summer,Normal,2.647798742138365,24.452830188679247,0.10828189300411523,1.892725454784864,1.7176927503145578,2.0677581592551704,0.030878768695784074,0.024213787550424595,0.03754374984114355,2.4220629437028005e-18,0.14855791387,sig,0.17847769028871388
H03,V2,H03 V2,AC,2022-12-08T00:00:00Z,Spanish Fork,9.943478260869565,Winter,Normal,0.5819397993311036,2.132107023411371,0.27294117647058824,0.38252644637249633,0.25414836793052326,0.5109045248144695,0.09352877260332812,0.05461670326673575,0.1324408419399205,2.69206744684293e-6,0.01828438242,sig,NA
H03,V3,H03 V3,AC,2023-08-03T00:00:00Z,Spanish Fork,4.921739130434783,Summer,Normal,6.980959097320169,10.066290550070521,0.693498668908505,5.577164635382199,5.39148968902479,5.762839581739608,0.1394549913849077,0.12294698118401008,0.15596300158580528,1.64936646173681e-56,0.16243288945,sig,0.08629441624365482
H04,V1,H04 V1,AC,2022-07-28T00:00:00Z,Spanish Fork,8.6875,Summer,Normal,3.674518201284797,11.563882940756603,0.3177581630763533,2.7159795543142176,2.5370710209281717,2.8948880877002634,0.08289072553581678,0.06892988287346086,0.0968515681981727,5.464091358318501e-30,0.08839460456,sig,0.14105263157894737
H04,V2,H04 V2,AC,2023-01-25T00:00:00Z,Spanish Fork,13.333333333333334,Winter,Normal,1.031757233592096,29.988708539167256,0.03440485715630442,1.2878224965510034,1.140236324487343,1.4354086686146639,-0.008538722587018734,-0.013108754534767685,-0.003968690639269784,2.5631722715578295e-4,0.00940430694,sig,NA
H05,V2,H05 V2,AC,2023-02-02T00:00:00Z,Lindon,24.633333333333333,Winter,Normal,7.533802816901408,43.27535211267605,0.17408992530634165,2.8517695230142484,2.3742935114200847,3.329245534608412,0.10819168568973145,0.0983821736684737,0.1180011977109892,6.196606726797895e-90,0.24818073969,sig,NA
H05,V3,H05 V3,AC,2023-08-21T00:00:00Z,Lindon,3.3833333333333333,Summer,Normal,6.222953904045156,16.57478833490122,0.3754469606674613,6.226505155165926,6.002018006188661,6.450992304143191,-2.1425619736974106e-4,-0.0010295118232812104,6.009994285417284e-4,0.606182791691664,2.5057778e-4,non-sig,0.16585365853658535
H06,V1,H06 V1,AC,2022-08-01T00:00:00Z,Lindon,4.778260869565218,Summer,Normal,3.48014440433213,7.934296028880866,0.43862043862043865,3.5986065962142018,3.445598381299867,3.7516148111285363,-0.01493039728426381,-0.0328770364034533,0.003016241834925675,0.1029099798227894,0.00192209743,non-sig,0.1891891891891892
