"House.Number","Visit","Type.of.Air.Conditioner","Date","intercept","intercept.lower","intercept.upper","slope","slope.lower","slope.upper","p.value","r.squared","sig"
"H02","V2","Central",2022-11-21 19:06:00,1.80840695253478,1.75020944567574,1.86660445939381,-0.0166992639495763,-0.0224431943167978,-0.0109553335823548,1.42601204538224e-08,"0.02204221024","sig"
"H02","V3","Central",2023-08-15 18:13:00,3.37540547498496,3.11296940543495,3.63784154453498,-0.0167184416030205,-0.0595919847930632,0.0261551015870223,0.443762697440505,"0.00147818266","non-sig"
"H03","V1","Central",2022-07-27 15:36:00,1.89272545478486,1.71769275031456,2.06775815925517,0.0308787686957841,0.0242137875504246,0.0375437498411436,2.4220629437028e-18,"0.14855791387","sig"
"H03","V2","Central",2022-12-08 18:37:00,0.382526446372498,0.254148367930526,0.510904524814471,0.0935287726033271,0.0546167032667351,0.132440841939919,2.69206744684302e-06,"0.01828438242","sig"
"H03","V3","Central",2023-08-03 13:21:00,5.57716463538219,5.39148968902478,5.7628395817396,0.139454991384908,0.122946981184011,0.155963001585806,1.64936646173662e-56,"0.16243288945","sig"
"H04","V1","Central",2022-07-28 16:41:00,2.71597955431422,2.53707102092818,2.89488808770027,0.0828907255358163,0.0689298828734604,0.0968515681981721,5.46409135832032e-30,"0.08839460456","sig"
"H04","V2","Central",2023-01-25 16:41:00,1.287822496551,1.14023632448734,1.43540866861466,-0.00853872258701873,-0.0131087545347677,-0.00396869063926979,0.000256317227155777,"0.00940430694","sig"
"H05","V2","Central",2023-02-02 17:57:00,2.85176952301431,2.37429351142015,3.32924553460847,0.10819168568973,0.0983821736684724,0.118001197710988,6.19660672681011e-90,"0.24818073969","sig"
"H05","V3","Central",2023-08-21 17:56:00,6.22650515516593,6.00201800618866,6.45099230414319,-0.000214256197369741,-0.00102951182328121,0.000600999428541728,0.606182791691664,"0.00025057778","non-sig"
"H06","V1","Central",2022-08-01 17:34:00,3.5986065962142,3.44559838129987,3.75161481112854,-0.0149303972842637,-0.0328770364034532,0.00301624183492574,0.102909979822791,"0.00192209743","non-sig"
"H06","V2","Central",2022-11-17 10:35:00,6.06455774639996,5.99867336486172,6.1304421279382,-0.0277868162011167,-0.0372128334354462,-0.0183607989667872,9.02229671434463e-09,"0.02292804612","sig"
"H07","V1","Central",2022-08-03 11:53:00,10.5626374497929,10.0940416671698,11.0312332324161,-0.105384820602435,-0.124526029590354,-0.0862436116145157,3.62868608889405e-26,"0.07742103570","sig"
"H07","V2","Central",2023-03-09 19:19:00,3.06515834461929,2.99480348839543,3.13551320084315,0.00589754360057248,-0.0366975456194459,0.0484926328205908,0.785970867693523,"0.00005122301","non-sig"
"H08","V1","Central",2022-08-09 17:21:00,14.8023062944204,13.4040647423041,16.2005478465368,-0.0905740681422476,-0.200730496235252,0.0195823599507566,0.106690646692092,"0.00882813316","non-sig"
"H08","V2","Central",2022-09-08 17:25:00,7.04504053626456,5.32265536600221,8.7674257065269,0.294027440952472,0.24472645751227,0.343328424392673,4.90462534420371e-30,"0.10172206463","sig"
"H08","V3","Central",2023-04-13 17:24:00,2.47006350447883,2.19279853232973,2.74732847662793,0.11583514907723,0.0674915264327922,0.164178771721667,3.78858167751594e-06,"0.07360372812","sig"
"H09","V1","Central",2022-08-09 16:44:00,4.70644696655483,4.60985862586111,4.80303530724855,0.0271599366255152,0.0102540177558301,0.0440658554952004,0.00165896905105601,"0.00706423703","sig"
"H10","V2","Central",2022-11-30 17:58:00,1.34192569537268,1.25928528942547,1.42456610131988,0.0230191173831175,-0.0420093504193055,0.0880475851855404,0.487519104304521,"0.00038170697","non-sig"
"H10","V3","Central",2023-08-03 18:02:00,4.432727574487,4.25802466233775,4.60743048663625,0.0603078560743872,0.0317668766733305,0.0888488354754439,3.60008544953221e-05,"0.01202164263","sig"
"H11","V1","Central",2022-08-16 18:59:00,3.6534403630173,3.43915497376932,3.86772575226529,0.0836646506314734,0.0737761195782515,0.0935531816846953,6.45376277604466e-57,"0.15522378865","sig"
"H11","V2","Central",2022-11-16 18:09:00,7.58513983587082,7.20266944913079,7.96761022261086,0.242318954166527,0.19835109323048,0.286286815102574,1.24844257016655e-25,"0.12176317554","sig"
"H12","V1","Central",2022-08-11 18:30:00,1.90688253741042,1.52329374589161,2.29047132892923,0.76934933805396,0.70235463287193,0.83634404323599,1.03679801515459e-93,"0.30187319258","sig"
"H12","V2","Central",2023-03-27 18:03:00,5.65850829960793,5.18937850561808,6.12763809359777,-0.0558113336606817,-0.0813992490894184,-0.030223418231945,2.0032002064446e-05,"0.01233289973","sig"
"H13","V1","Central",2022-08-10 17:51:00,4.39286173522319,4.18624912791416,4.59947434253222,0.0641709160299559,0.0394060683721656,0.0889357636877462,4.21759038417135e-07,"0.01819772436","sig"
"H13","V2","Central",2023-04-04 17:32:00,3.59530586709194,3.45634762156534,3.73426411261853,-0.0550646799709417,-0.0696198229551975,-0.040509536986686,1.99989884190108e-13,"0.03769509893","sig"
"H14","V1","Central",2022-08-15 15:39:00,5.90339009856058,5.5215099655812,6.28527023153995,-0.0772505716573887,-0.12046799136843,-0.0340331519463472,0.000468515259631022,"0.00873055040","sig"
"H14","V2","Central",2022-09-09 15:36:00,-6.59093662507622,-7.61061553998755,-5.57125771016489,0.273364282252119,0.261181038375668,0.285547526128569,7.92924107374663e-269,"0.57361677032","sig"
"H15","V2","Central",2023-08-21 17:29:00,6.26136009150463,6.17309478867722,6.34962539433204,0.223115316626805,0.155553885165972,0.290676748087637,1.27956787161027e-10,"0.02890324318","sig"
"H16","V2","Central",2022-09-09 16:20:00,-16.4142522061722,-17.9149511817631,-14.9135532305813,0.539197570863457,0.521902912813745,0.55649222891317,0,"0.72510476847","sig"
"H16","V3","Central",2023-03-30 17:47:00,1.87038852002083,1.66816430100853,2.07261273903312,0.34662296902264,0.230690406059741,0.462555531985538,5.58955071052266e-09,"0.02391495900","sig"
"H16","V4","Central",2023-08-14 17:22:00,3.84912660045102,3.55877207947996,4.13948112142208,0.0199313304711989,-0.000106936844860711,0.0399695977872585,0.0512335562856478,"0.00265889052","non-sig"
"H17","V2","Evaporative",2023-01-27 16:21:00,3.87513095417427,3.34515203164834,4.40510987670021,0.0255099642507402,-0.00175509369464502,0.0527750221961255,0.0666376732158195,"0.00477710482","non-sig"
"H18","V1","Evaporative",2022-09-01 19:37:00,4.61834247291208,4.45332444178679,4.78336050403738,0.268411032622292,0.257629170894329,0.279192894350256,3.02275386005016e-304,"0.63093895072","sig"
"H19","V1","Evaporative",2022-09-02 17:48:00,5.23310602998291,4.41483107064322,6.05138098932261,0.171974317064742,0.103048117021107,0.240900517108376,1.51596269597623e-06,"0.07652557321","sig"
"H19","V2","Evaporative",2023-02-10 17:32:00,2.21088973424223,2.12967375455921,2.29210571392526,0.0453009519593205,0.0357825530950543,0.0548193508235867,3.62811758596064e-20,"0.05662707935","sig"
