"House.Number","Visit","house.number.visit","Location","season","average.RH","std.dev.RH","min.RH","max.RH","average.Temp","std.dev.Temp","min.Temp","max.Temp","time.hours"
"H02","V1","H02 V1","In","Summer",42.0614840989399,0.977604135822607,39.9,44.9,23.7204946996466,0.772306875816084,22.3,25.3,23.5833333333333
"H02","V1","H02 V1","Out","Summer",20.5814946619217,6.24553662690462,5.5,40.5,26.7544596167247,5.87185364884331,17.39663,36.17219,23.9166666666667
"H02","V2","H02 V2","In","Winter",27.331724137931,2.57775158722405,20.9,30.4,19.8768965517241,2.05488295737256,17.1,24.9,24.1666666666667
"H02","V2","H02 V2","Out","Winter",50.5541379310345,8.88995001065708,21.8,62.5,-0.957586206896552,4.25340421787532,-5.8,9.7,24.1666666666667
"H02","V3","H02 V3","In","Summer",43.2717857142857,1.13198386949584,41.7,48,23.3753571428571,0.841955320002609,21.5,25.3,23.3333333333333
"H02","V3","H02 V3","Out","Summer",41.2003584229391,7.76452687347482,23.2,56.3,25.7836655871886,4.84498595074571,19.11057,35.90078,23.4166666666667
"H02","V4","H02 V4","Out","Summer",36.7572520134228,16.6730485511145,18.99696,78.20777,23.2663135234899,4.26264541431055,15.16651,33.63597,24.8333333333333
"H03","V1","H03 V1","In","Summer",43.8304659498208,5.51022954496679,28.5,50.1,23.4351254480287,2.19538083634259,21.5,30.5,23.25
"H03","V1","H03 V1","Out","Summer",32.8361010830325,18.7185445315882,7.1,81.5,26.5886183333333,5.8080543357452,17.07143,36.17219,24
"H03","V2","H03 V2","In","Winter",33.5650909090909,1.32739918133012,30.4,36.4,18.9789090909091,0.892502576673932,17.4,20.3,22.9166666666667
"H03","V2","H03 V2","Out","Winter",74.585393258427,19.9181967124812,32.4,92.7,-1.92584269662921,5.84254929597641,-9.2,12.2,22.25
"H03","V3","H03 V3","In","Summer",54.4795774647887,3.8070891421173,46.1,67,23.0369718309859,1.19788063106089,20.5,25.2,23.6666666666667
"H03","V3","H03 V3","Out","Summer",55.6792253521127,25.2027669290874,7.3,90.8,20.7832368070175,4.94908962378784,13.20569,30.12644,23.75
"H04","V1","H04 V1","Out","Summer",34.3014652014652,14.6175583648971,7.3,64,26.1149591637631,5.28661741126857,18.66132,36.3418,23.9166666666667
"H04","V2","H04 V2","Out","Winter",83.8221052631579,10.401518499794,23.8,91.9,-3.83754385964912,2.87613313903527,-9.4,13.5,23.75
"H05","V1","H05 V1","In","Summer",43.1884476534296,5.4970489555006,35.4,50.6,22.0126353790614,0.335927097925426,21.2,22.8,23.0833333333333
"H05","V1","H05 V1","Out","Summer",66.5272727272727,27.6937466671758,17.6,94,22.6099922222222,5.12859318801637,17.28011,34.25325,24
"H05","V2","H05 V2","Out","Winter",71.4617543859649,21.2287601492568,29.4,89.8,-2.24035087719298,6.37807809282246,-8.2,10.4,23.75
"H05","V3","H05 V3","In","Summer",45.869964664311,2.90016794552008,40,51.1,21.7756183745583,0.222826513826374,21.3,22.3,23.5833333333333
"H05","V3","H05 V3","Out","Summer",73.1544483985765,13.6501670501947,32.8,93.7,19.0973137809187,1.59802376245376,16.26265,22.76535,23.5833333333333
"H06","V1","H06 V1","In","Summer",39.0964028776978,3.13976269130029,28.7,42.6,24.0244604316547,0.518724028325532,22.6,27.6,23.1666666666667
"H06","V1","H06 V1","Out","Summer",66.291726618705,19.9483150733174,22.1,92.8,22.2312502857143,4.72507532553494,17.28011,32.8461,23.3333333333333
"H06","V2","H06 V2","In","Winter",28.5892361111111,1.28716070857601,24.6,30.5,18.2215277777778,1.58712868057479,14.9,22.7,24
"H06","V2","H06 V2","Out","Winter",60.9689895470383,15.4400978754018,24.7,84.9,-0.0766550522648083,3.60326851857569,-5.1,9.8,23.9166666666667
"H07","V1","H07 V1","In","Summer",56.0726443768997,4.04631486942587,46.2,63,16.6249240121581,1.10096357893214,14.6,19.6,27.4166666666667
"H07","V1","H07 V1","Out","Summer",42.305017921147,18.0351707727384,12.1,72.8,26.3304485410334,5.38992081302608,18.17037,36.47093,27.4166666666667
"H07","V2","H07 V2","In","Winter",35.386941580756,1.48232154593426,32.8,44.2,18.3027491408935,1.31715183934397,15.7,20.4,24.25
"H07","V2","H07 V2","Out","Winter",63.1093103448276,15.8987654699152,22.4,85.8,7.73827586206897,2.46654089904907,3.8,17,24.1666666666667
"H08","V1","H08 V1","In","Summer",38.1190972222222,3.26504289489395,32.1,45.7,23.1798611111111,0.578063553540493,22,24.6,24
"H08","V1","H08 V1","Out","Summer",34.5576923076923,9.41816424860839,15.9,54.2,27.3621040484429,4.16553111549814,21.59826,35.37707,24.0833333333333
"H08","V2","H08 V2","In","Summer",34.6544827586207,2.82741104046497,28.4,43.7,22.5737931034483,0.930120406660626,18.8,24.3,24.1666666666667
"H08","V2","H08 V2","Out","Summer",28.1406896551724,15.8675704476228,1.9,54.7,22.8900816438356,5.0945013522931,13.48341,33.60671,24.3333333333333
"H09","V1","H09 V1","In","Summer",48.7272727272727,2.97052613493659,43.9,53.2,22.3958041958042,0.177061442749824,22,22.9,23.8333333333333
"H09","V1","H09 V1","Out","Summer",35.4478723404255,11.9037874476699,9.5,58.9,27.5389590443686,4.3405161643315,21.59826,36.72726,24.4166666666667
"H09","V2","H09 V2","In","Winter",30.6275985663082,0.911314749186179,23.9,35.7,17.9781362007168,0.994294209069122,16.6,19.7,23.25
"H09","V2","H09 V2","Out","Winter",48.3939285714286,19.1450115795728,19.1,72.1,1.43714285714286,4.21265958368928,-4.1,8.9,23.3333333333333
"H10","V1","H10 V1","In","Summer",52.9930555555556,0.877747656186529,51.1,55.3,21.5784722222222,0.076791602873949,21.4,21.9,12
"H10","V1","H10 V1","Out","Summer",51.4947301034483,13.1672727463438,24.95112,70.43075,22.7231907241379,4.26994107047298,17.33408,32.28893,24.1666666666667
"H10","V2","H10 V2","In","Winter",23.3517730496454,0.848746434801242,21.6,27.9,18.0744680851064,1.0352440017242,16.7,19.8,23.5
"H10","V2","H10 V2","Out","Winter",38.5081850533808,3.42384035340916,27.3,48.6,1.88896797153025,2.61156480234124,-2.3,7,23.4166666666667
"H10","V3","H10 V3","In","Summer",58.1003533568905,1.31255525336492,53.2,60.9,22.2812720848057,0.179348130596544,22,24.2,23.5833333333333
"H10","V3","H10 V3","Out","Summer",52.5466431095406,11.4576717633831,29.1,68.9,21.4895338515901,5.72780852327129,13.20569,31.97441,23.5833333333333
"H11","V1","H11 V1","In","Summer",46.6088524590164,1.15722288140142,44.6,51,23.8973770491803,0.83247787555425,21.8,26.6,25.4166666666667
"H11","V1","H11 V1","Out","Summer",35.9674342105263,19.8746042241088,4.4,68.3,26.7948426143791,5.33352960923231,17.80838,34.92677,25.5
"H11","V2","H11 V2","In","Winter",42.0733564013841,1.55880657285142,38.8,46.4,20.121107266436,1.08947178472137,18.1,21.4,24.0833333333333
"H11","V2","H11 V2","Out","Winter",60.7951557093426,18.1196901434823,8.7,84.1,-0.0830449826989619,6.92044749085375,-6.9,31.8,24.0833333333333
"H12","V1","H12 V1","In","Summer",44.4592334494774,8.81438609362833,32.4,66.6,23.8261324041812,0.76563883232806,21.8,25.6,23.9166666666667
"H12","V1","H12 V1","Out","Summer",63.9834507042254,20.4993968900604,22.8,88.6,22.7137746735395,4.25863797969242,17.33408,32.28893,24.25
"H12","V2","H12 V2","In","Winter",31.7946996466431,3.33264640943485,26.9,37,19.3932862190813,2.33532633512899,14.4,22.5,23.5833333333333
"H12","V2","H12 V2","Out","Winter",44.3218309859155,24.747218471524,5.6,76.8,3.75598591549296,9.98012863523175,-6,29.2,23.6666666666667
"H13","V1","H13 V1","In","Summer",39.4775438596491,1.53588103896469,34.4,43.6,22.6810526315789,0.451670156550945,21.9,24.1,23.75
"H13","V1","H13 V1","Out","Summer",50.9548956643357,13.7756685189691,21.65889,71.94559,23.5013637062937,4.51845263135297,17.68906,32.98873,23.8333333333333
"H13","V2","H13 V2","In","Winter",38.4528169014085,1.62019907436135,32.8,41.5,18.569014084507,0.596062830016625,17.4,19.8,23.6666666666667
"H13","V2","H13 V2","Out","Winter",71.5787234042553,24.357118577754,14.7,91.9,1.52304964539007,6.86138303430395,-7,23.9,23.5
"H14","V1","H14 V1","In","Summer",48.1893238434164,1.76983450752792,44.9,52.6,22.8711743772242,0.791825450768025,21.6,25.5,23.4166666666667
"H14","V1","H14 V1","Out","Summer",41.2602836879433,17.3202918430313,8.3,68.2,24.2533503191489,5.44895912893367,16.4729,34.04824,23.5
"H14","V2","H14 V2","In","Summer",40.4735395189003,1.59303035265099,37.4,44.3,23.1250859106529,0.647719801202473,21.9,24.3,24.25
"H14","V2","H14 V2","Out","Summer",24.6264604810997,12.5275952303781,3,52.6,19.0841603436426,5.75517452916062,9.49257,28.81496,24.3333333333333
"H14","V3","H14 V3","In","Winter",33.2635714285714,1.45314937744172,30.7,35.3,20.7075,0.9211070361489,18.4,22.2,23.3333333333333
