House.Number,Visit,house.number.visit,house.number.visit.date,Location,first.day,Ozone.UDAQ.ppb,UDAQ.n_OZONE,season,Monitor.closest,O3.mg.m3,O3.ppb,O3.LOD.ppb,O3.Below.detection,ozone.max,average.RH,min.RH,max.RH,average.Temp,min.Temp,max.Temp,time.hours,Type of Air Conditioner,ac.type,flow_level
H02,V3,H02 V3,2023-08-15 H02 V3,In,2023-08-15T00:00:00Z,43.869565217391305,23,Summer,Spanish Fork,<0.057,NA,3.4285266844590283,TRUE,0.0034,43.27178571428571,41.7,48,23.375357142857144,21.5,25.3,23.333333333333332,Central,AC,High
H02,V3,H02 V3,2023-08-15 H02 V3,Out,2023-08-15T00:00:00Z,43.869565217391305,23,Summer,Spanish Fork,6.2E-2,37.237584182003104,3.4639613192561027,FALSE,0.0372,41.20035842293907,23.2,56.3,25.78366558718861,19.11057,35.90078,23.416666666666668,Central,AC,High
H03,V1,H03 V1,2022-07-27 H03 V1,In,2022-07-27T00:00:00Z,48.708333333333336,24,Summer,Spanish Fork,<0.01,NA,6.8475556064914915,TRUE,0.0068,43.83046594982079,28.5,50.1,23.435125448028675,21.5,30.5,23.25,Central,AC,Low
H03,V1,H03 V1,2022-07-27 H03 V1,Out,2022-07-27T00:00:00Z,48.708333333333336,24,Summer,Spanish Fork,6.2E-2,38.130601233817295,6.932836587966778,FALSE,0.0381,32.83610108303249,7.1,81.5,26.588618333333333,17.07143,36.17219,24,Central,AC,Low
H03,V3,H03 V3,2023-08-03 H03 V3,In,2023-08-03T00:00:00Z,41.52173913043478,23,Summer,Spanish Fork,<0.0057,NA,3.409380397483638,TRUE,0.0034,54.47957746478873,46.1,67,23.036971830985916,20.5,25.2,23.666666666666668,Central,AC,High
H03,V3,H03 V3,2023-08-03 H03 V3,Out,2023-08-03T00:00:00Z,41.52173913043478,23,Summer,Spanish Fork,6.5000000000000002E-2,39.362857171993525,3.498920637510534,FALSE,0.0394,55.679225352112674,7.3,90.8,20.783236807017545,13.20569,30.12644,23.75,Central,AC,High
H04,V1,H04 V1,2022-07-28 H04 V1,In,2022-07-28T00:00:00Z,44.375,24,Summer,Spanish Fork,<0.01,NA,6.7105788157555155,TRUE,0.0067,NA,NA,NA,NA,NA,NA,NA,Central,AC,Low
H04,V1,H04 V1,2022-07-28 H04 V1,Out,2022-07-28T00:00:00Z,44.375,24,Summer,Spanish Fork,7.8E-2,47.451381686389595,6.7787688123413705,FALSE,0.0475,34.3014652014652,7.3,64,26.114959163763068,18.66132,36.3418,23.916666666666668,Central,AC,Low
H05,V3,H05 V3,2023-08-21 H05 V3,In,2023-08-21T00:00:00Z,33.666666666666664,24,Summer,Lindon,<0.0057,NA,3.421592151669337,TRUE,0.0034,45.869964664310956,40,51.1,21.775618374558302,21.3,22.3,23.583333333333332,Central,AC,High
H05,V3,H05 V3,2023-08-21 H05 V3,Out,2023-08-21T00:00:00Z,33.666666666666664,24,Summer,Lindon,3.6999999999999998E-2,20.508520483936884,3.4180867473228136,FALSE,0.0205,73.1544483985765,32.8,93.7,19.09731378091873,16.26265,22.76535,23.583333333333332,Central,AC,High
