House.Number,Visit,Date,Type of Air Conditioner,O3.ppb_In,O3.LOD.ppb_In,O3.ppb_Out,O3.LOD.ppb_Out,I/O
H14,V1,2022-08-15,AC,NA,NA,NA,NA,NA
H14,V2,2022-09-09,AC,NA,3.4,48.9,3.3,0.07
H16,V1,2022-08-17,AC,NA,6.8,44.2,6.8,0.15
H16,V2,2022-09-09,AC,NA,3.3,48,3.4,0.07
H16,V4,2023-08-14,AC,NA,3.4,38.9,3.5,0.09
H07,V1,2022-08-03,AC,NA,6,55.9,7,0.11
H33,V1,2023-08-31,AC,NA,3.5,30.9,3.5,0.11
H02,V1,2022-07-26,AC,NA,7.1,44.4,7.1,0.16
H02,V3,2023-08-15,AC,NA,3.4,37.2,3.5,0.09
H02,V4,2023-08-31,AC,NA,3.6,39.4,3.6,0.09
H08,V1,2022-08-09,AC,NA,6.7,38.5,6.7,0.17
H08,V2,2022-09-08,AC,NA,3.3,38.8,3.3,0.09
H31,V1,2023-08-24,AC,NA,3.4,26.1,3.4,0.13
H03,V1,2022-07-27,AC,NA,6.8,38.1,6.9,0.18
H03,V3,2023-08-03,AC,NA,3.4,39.4,3.5,0.09
H11,V1,2022-08-16,AC,NA,6.3,46.1,6.4,0.14
H04,V1,2022-07-28,AC,NA,6.7,47.5,6.8,0.14
H10,V1,2022-08-11,AC,NA,6.7,35.9,6.8,0.19
H10,V3,2023-08-03,AC,NA,3.4,32.8,3.4,0.1
H13,V1,2022-08-10,AC,NA,6.8,45,6.7,0.15
H06,V1,2022-08-01,AC,NA,7,37,7,0.19
H09,V1,2022-08-09,AC,NA,6.8,27.5,6.9,0.25
H09,V3,2022-08-15,AC,NA,NA,NA,NA,NA
H09,V4,2023-08-21,AC,NA,3.4,23.1,3.4,0.15
H05,V1,2022-08-01,AC,NA,6.7,24,6.9,0.28
H05,V3,2023-08-21,AC,NA,3.4,20.5,3.4,0.17
H12,V1,2022-08-11,AC,11.8,6.8,40.5,6.8,0.29
H29,V1,2023-08-10,EC,NA,3.5,22.8,3.5,0.15
H29,V2,2023-08-21,EC,NA,3.5,24.3,3.5,0.14
H20,V1,2022-09-08,EC,12.8,3.4,31.7,3.4,0.4
H27,V1,2023-07-20,EC,21.6,3.5,29.2,3.5,0.74
H27,V2,2023-08-29,EC,5.7,3.4,30.1,3.5,0.19
H18,V1,2022-09-01,EC,24.5,3.5,47.1,3.4,0.52
H22,V1,2022-09-12,EC,17.8,3.4,33.1,3.4,0.54
H17,V1,2022-09-01,EC,25,3.4,44.5,3.5,0.56
H17,V3,2023-08-03,EC,18.9,3.4,36.1,3.4,0.52
H28,V1,2023-07-27,EC,21.8,3.5,36.6,3.6,0.6
H19,V1,2022-09-02,EC,30.2,3.5,46.4,3.4,0.65
H19,V3,2023-08-31,EC,24.7,3.5,40,3.6,0.62
H32,V1,2023-08-28,EC,16.9,3.4,26.2,3.4,0.65
H24,V1,2023-07-13,EC,22.6,3.5,34.7,3.6,0.65
H30,V1,2023-08-10,EC,21.6,3.5,30.1,3.5,0.72
H21,V1,2022-09-08,EC,29,3.4,40.4,3.4,0.72
H25,V1,2023-07-13,EC,26.4,3.5,36.1,3.6,0.73
H23,V1,2022-09-12,EC,28.6,3.4,38.5,3.3,0.74
H26,V1,2023-07-20,EC,28.6,3.4,30.9,3.4,0.93
H26,V2,2023-08-28,EC,18.7,3.4,20.4,3.4,0.92
