Type of Air Conditioner,House.Number,Visit,Date,I/O,In C,Out C,In max C,Out max C,In RH%,Out RH%,In min RH%,Out min RH%,Temp_diff,Temp_diff_max,RH_diff,RH_diff_min
AC,H14,V1,2022-08-15,NA,22.87,26.87,25.5,52.1,48.21,41.26,44.9,8.3,-4,-26.6,6.95,36.6
AC,H14,V2,2022-09-09,0.07,23.12,22.42,24.3,52.2,40.48,24.63,37.4,3,0.71,-27.9,15.85,34.4
AC,H16,V1,2022-08-17,0.15,23.65,33.32,26.3,67.4,39.08,32.48,33.3,3.1,-9.67,-41.1,6.61,30.2
AC,H16,V2,2022-09-09,0.07,22.74,27.67,25.5,59.4,37.93,26.4,32,1.4,-4.93,-33.9,11.54,30.6
AC,H16,V4,2023-08-14,0.09,24.08,30.04,25.5,49.1,41.12,38.85,36.9,13.5,-5.96,-23.6,2.26,23.4
AC,H07,V1,2022-08-03,0.11,16.65,27.58,21,47.8,56,47.07,44.4,12.1,-10.93,-26.8,8.94,32.3
AC,H33,V1,2023-08-31,0.11,22.09,22.1,23.2,22.1,40.44,65.2,35.4,65.2,-0.01,1.1,-24.76,-29.8
AC,H02,V1,2022-07-26,0.16,23.72,28.94,25.3,54.7,42.07,20.45,39.9,5.5,-5.22,-29.4,21.62,34.4
AC,H02,V3,2023-08-15,0.09,23.38,26.23,25.3,36.1,43.29,41.05,41.7,23.2,-2.85,-10.8,2.24,18.5
AC,H02,V4,2023-08-31,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,H08,V1,2022-08-09,0.17,23.18,28.93,24.6,42.7,38.12,34.56,32.1,15.9,-5.75,-18.1,3.56,16.2
AC,H08,V2,2022-09-08,0.09,22.57,25.95,24.3,51.5,34.68,28.14,28.4,1.9,-3.38,-27.2,6.53,26.5
AC,H31,V1,2023-08-24,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AC,H03,V1,2022-07-27,0.18,23.43,30.24,30.5,57.1,43.88,32.55,28.5,7.1,-6.81,-26.6,11.33,21.4
AC,H03,V3,2023-08-03,0.09,23.03,24.24,25.2,55.5,54.52,55.53,46.1,7.3,-1.21,-30.3,-1.01,38.8
AC,H11,V1,2022-08-16,0.14,23.9,31.79,26.6,54.3,46.61,35.97,44.6,4.4,-7.9,-27.7,10.64,40.2
AC,H04,V1,2022-07-28,0.14,21.36,27.65,24.4,51.1,46.42,33.83,44.4,7.3,-6.29,-26.7,12.59,37.1
AC,H10,V1,2022-08-11,0.19,21.61,22.52,23,27.9,52.26,61.63,48.1,46.5,-0.91,-4.9,-9.37,1.6
AC,H10,V3,2023-08-03,0.1,22.28,22.18,24.2,30.7,58.09,52.55,53.2,29.1,0.1,-6.5,5.55,24.1
AC,H13,V1,2022-08-10,0.15,22.68,NA,24.1,NA,39.48,NA,34.4,NA,NA,NA,NA,NA
