"House.Number","Visit","house.number.visit","house.number.visit.date","Type of Air Conditioner","ac.type","ac.season","first.day","Monitor.closest","PM2.5.UDAQ.ug.m3","season","day.type","SidePak.ug.m3.avg_In","SidePak.ug.m3.avg_Out","average.Temp_In","average.Temp_Out","average.RH_In","average.RH_Out","min.Temp_In","min.Temp_Out","max.Temp_In","max.Temp_Out","I/O","Outdoor.SidePak.UDAQ.ratio","Outdoor.SidePak.UDAQ.diff","Cs","Cs.lower","Cs.upper","Fin","Fin.lower","Fin.upper","p.value","R2","sig"
"H02","V2","H02 V2","2022-11-21 H02 V2","Central","Central","Central-Winter",2022-11-21,"Spanish Fork",13.92,"Winter","Normal",1.70865051903114,5.97370242214533,19.8768965517241,-0.957586206896552,27.331724137931,50.5541379310345,17.1,-5.8,24.9,9.7,0.286028730305839,0.429145288947222,-7.94629757785467,1.80840695253478,1.75020944567574,1.86660445939381,-0.0166992639495762,-0.0224431943167977,-0.0109553335823548,1.42601204538237e-08,0.02204221024,"sig"
"H02","V3","H02 V3","2023-08-15 H02 V3","Central","Central","Central-Summer",2023-08-15,"Spanish Fork",12.1086956521739,"Summer","Normal",3.2781954887218,5.81453634085213,23.3753571428571,25.7836655871886,43.2717857142857,41.2003584229391,21.5,19.11057,25.3,35.90078,0.563793103448276,0.480195101757986,-6.29415931132178,3.37540547498496,3.11296940543495,3.63784154453498,-0.0167184416030207,-0.0595919847930637,0.0261551015870224,0.443762697440503,0.00147818266,"non-sig"
"H03","V1","H03 V1","2022-07-27 H03 V1","Central","Central","Central-Summer",2022-07-27,"Spanish Fork",7.0125,"Summer","Normal",2.64779874213836,24.4528301886792,23.4351254480287,26.5886183333333,43.8304659498208,32.8361010830325,21.5,17.07143,30.5,36.17219,0.108281893004115,3.4870346080113,17.4403301886792,1.89272545478486,1.71769275031456,2.06775815925517,0.0308787686957841,0.0242137875504246,0.0375437498411436,2.4220629437028e-18,0.14855791387,"sig"
"H03","V2","H03 V2","2022-12-08 H03 V2","Central","Central","Central-Winter",2022-12-08,"Spanish Fork",9.94347826086956,"Winter","Normal",0.581939799331104,2.13210702341137,18.9789090909091,-1.92584269662921,33.5650909090909,74.585393258427,17.4,-9.2,20.3,12.2,0.272941176470588,0.214422656486496,-7.81137123745819,0.382526446372496,0.254148367930523,0.510904524814469,0.0935287726033281,0.0546167032667357,0.132440841939921,2.69206744684293e-06,0.01828438242,"sig"
"H03","V3","H03 V3","2023-08-03 H03 V3","Central","Central","Central-Summer",2023-08-03,"Spanish Fork",4.92173913043478,"Summer","Normal",6.98095909732017,10.0662905500705,23.0369718309859,20.7832368070175,54.4795774647887,55.6792253521127,20.5,13.20569,25.2,30.12644,0.693498668908505,2.0452710481592,5.14455141963574,5.5771646353822,5.39148968902479,5.76283958173961,0.139454991384908,0.12294698118401,0.155963001585805,1.64936646173681e-56,0.16243288945,"sig"
"H04","V1","H04 V1","2022-07-28 H04 V1","Central","Central","Central-Summer",2022-07-28,"Spanish Fork",8.6875,"Summer","Normal",3.6745182012848,11.5638829407566,NA,26.1149591637631,NA,34.3014652014652,NA,18.66132,NA,36.3418,0.317758163076353,1.33109443922378,2.8763829407566,2.71597955431422,2.53707102092817,2.89488808770026,0.0828907255358168,0.0689298828734609,0.0968515681981727,5.4640913583185e-30,0.08839460456,"sig"
"H04","V2","H04 V2","2023-01-25 H04 V2","Central","Central","Central-Winter",2023-01-25,"Spanish Fork",13.3333333333333,"Winter","Normal",1.0317572335921,29.9887085391673,NA,-3.83754385964912,NA,83.8221052631579,NA,-9.4,NA,13.5,0.0344048571563044,2.24915314043754,16.6553752058339,1.287822496551,1.14023632448734,1.43540866861466,-0.00853872258701873,-0.0131087545347677,-0.00396869063926978,0.000256317227155783,0.00940430694,"sig"
"H05","V2","H05 V2","2023-02-02 H05 V2","Central","Central","Central-Winter",2023-02-02,"Lindon",24.6333333333333,"Winter","Normal",7.53380281690141,43.2753521126761,NA,-2.24035087719298,NA,71.4617543859649,NA,-8.2,NA,10.4,0.174089925306342,1.75678019401933,18.6420187793427,2.85176952301425,2.37429351142008,3.32924553460841,0.108191685689731,0.0983821736684737,0.118001197710989,6.1966067267979e-90,0.24818073969,"sig"
"H05","V3","H05 V3","2023-08-21 H05 V3","Central","Central","Central-Summer",2023-08-21,"Lindon",3.38333333333333,"Summer","Normal",6.22295390404516,16.5747883349012,21.7756183745583,19.0973137809187,45.869964664311,73.1544483985765,21.3,16.26265,22.3,22.76535,0.375446960667461,4.89895221721218,13.1914550015679,6.22650515516593,6.00201800618866,6.45099230414319,-0.000214256197369741,-0.00102951182328121,0.000600999428541728,0.606182791691664,0.00025057778,"non-sig"
"H06","V1","H06 V1","2022-08-01 H06 V1","Central","Central","Central-Summer",2022-08-01,"Lindon",4.77826086956522,"Summer","Normal",3.48014440433213,7.93429602888087,24.0244604316547,22.2312502857143,39.0964028776978,66.291726618705,22.6,17.28011,27.6,32.8461,0.438620438620439,1.66049871396051,3.15603515931565,3.5986065962142,3.44559838129987,3.75161481112854,-0.0149303972842638,-0.0328770364034533,0.00301624183492567,0.102909979822789,0.00192209743,"non-sig"
