"statistic","ac.type","season","day.type","mean","sd","n","median","p10","p90","tcrit","bound","lower.95","upper.95"
"Outdoor UDAQ","Central","Summer","Normal",6.63905490289761,3.06959095732338,17,5.42083333333333,4.22028985507246,11.1949068322981,2.11990529922125,1.57823803892888,5.06081686396873,8.2172929418265
"Outdoor UDAQ","Central","Summer","Wildfire Smoke",29.0694444444444,11.1130868903056,3,35.4041666666667,20.0708333333333,35.5341666666667,4.30265272974946,27.6064382381663,1.46300620627818,56.6758826826107
"Outdoor UDAQ","Central","Winter","Normal",8.89704927536232,7.21054539455497,10,8.8245,1.9875,14.9913333333333,2.2621571627982,5.15811344380987,3.73893583155245,14.0551627191722
"Outdoor UDAQ","Evap","Summer","Normal",6.31951581027668,2.21553571758099,11,5.92083333333333,4.29166666666667,7.27916666666667,2.22813885198627,1.48841714765586,4.83109866262082,7.80793295793254
"Outdoor UDAQ","Evap","Summer","Wildfire Smoke",11.2714782608696,8.33661891830303,4,10.4,4.1434,19.0967391304348,3.18244630528371,13.2654210375559,-1.9939427766863,24.5368992984254
"Outdoor UDAQ","Evap","Winter","Normal",5.96449275362319,2.80834197526245,5,5.30416666666667,3.4625,8.9818115942029,2.77644510519779,3.48701712532783,2.47747562829536,9.45150987895102
"Outdoor SidePak","Central","Summer","Normal",11.2907604964574,6.25555915708029,17,10.0662905500705,5.37654231081943,19.3792475514408,2.11990529922125,3.21631173460417,8.07444876185321,14.5070722310615
"Outdoor SidePak","Central","Summer","Wildfire Smoke",66.1084471623877,28.2999511072623,3,80.3065187239945,42.8774887158972,83.6601769842355,4.30265272974946,70.3009757862408,-4.19252862385306,136.409422948628
"Outdoor SidePak","Central","Winter","Normal",12.4149130363975,13.8745120976943,10,6.54772591556439,2.05929461410011,31.3173728965181,2.2621571627982,9.92522804605914,2.48968499033835,22.3401410824566
"Outdoor SidePak","Evap","Summer","Normal",8.4240391648062,2.69246045899033,11,8.50829127613554,5.01470588235294,11.7030716723549,2.22813885198627,1.808819548584,6.61521961622221,10.2328587133902
