House Type,Construct,N,Pre Survey Score,Post Survey Score,Median Difference,Hodges-Lehmann Estimate,Z-stat,P-value,Adj. P-value,95% CI
AC,Perceived Severity (O3),10,0.66,0.56,-0.08,-0.15,-2.08,0.047,0.094,"(-0.25, 0)"
AC,Perceived Susceptibility (O3),10,0.57,0.5,-0.03,-0.09,-1.61,0.125,0.125,"(-0.25, 0.05)"
AC,Perceived Threat (O3),10,0.61,0.53,-0.05,-0.08,-2.76,0.004,0.012,"(-0.17, -0.03)"
AC,Perceived Severity (PM2.5),10,0.75,0.76,0.1,0.05,0.98,0.336,0.672,"(-0.25, 0.2)"
AC,Perceived Susceptibility (PM2.5),10,0.64,0.57,-0.05,-0.07,-1.48,0.16,0.48,"(-0.2, 0.05)"
AC,Perceived Threat (PM2.5),10,0.68,0.63,-0.02,-0.02,-0.72,0.547,0.672,"(-0.23, 0.05)"
EC,Perceived Severity (O3),5,0.58,0.6,0,0.05,0.57,0.75,1,"(-0.1, 0.15)"
EC,Perceived Susceptibility (O3),5,0.56,0.51,0,-0.12,-1.41,0.5,1,"(-0.12, -0.12)"
EC,Perceived Threat (O3),5,0.57,0.56,0,-0.02,-0.43,1,1,"(-0.08, 0.07)"
EC,Perceived Severity (PM2.5),5,0.68,0.7,0.1,0.1,0.55,0.75,1,"(-0.05, 0.1)"
EC,Perceived Susceptibility (PM2.5),5,0.59,0.62,0,0.08,1.41,0.5,1,"(0.08, 0.08)"
EC,Perceived Threat (PM2.5),5,0.62,0.65,0.03,0.03,2,0.125,0.375,"(NaN, NaN)"
