Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,HouseID,Survey
2,1,2,3,1,1,1,1,1,1,1,1,1,1,H02,Post_Intervention
4,1,4,5,4,5,1,1,2,2,1,3,1,3,H02,Pre_Intervention
4,2,3,5,2,4,2,2,4,2,2,3,1,4,H05,Post_Intervention
4,4,4,3,2,4,4,4,5,4,4,4,3,4,H05,Pre_Intervention
2,2,4,4,2,4,2,2,2,2,2,3,2,4,H06,Post_Intervention
3,2,4,4,2,3,2,2,3,2,4,3,2,3,H06,Pre_Intervention
4,2,4,4,3,3,3,3,3,2,3,3,3,3,H07,Post_Intervention
4,4,4,4,2,4,2,2,4,3,3,4,3,4,H07,Pre_Intervention
4,4,3,4,4,4,3,3,4,4,3,4,3,4,H09,Post_Intervention
4,4,3,3,3,4,4,4,4,4,3,3,3,3,H09,Pre_Intervention
4,3,3,4,2,3,3,3,4,3,3,4,2,3,H11,Post_Intervention
3,3,2,3,3,4,4,3,2,2,3,4,4,4,H11,Pre_Intervention
3,2,3,5,5,4,2,2,3,2,2,4,3,4,H13,Post_Intervention
3,3,4,4,3,3,3,3,2,2,2,5,3,4,H13,Pre_Intervention
3,1,2,4,2,3,2,2,4,1,3,4,1,4,H14,Post_Intervention
4,2,3,4,1,2,3,3,4,2,2,4,1,3,H14,Pre_Intervention
4,4,3,2,1,3,1,1,3,3,1,3,1,3,H19,Post_Intervention
3,2,3,4,2,3,2,2,2,2,3,3,2,3,H19,Pre_Intervention
3,3,4,4,3,5,3,3,3,3,3,4,2,5,H24,Post_Intervention
4,2,3,4,4,4,2,3,3,3,3,4,2,3,H24,Pre_Intervention
2,2,4,4,2,3,2,2,3,2,3,4,2,3,H25,Post_Intervention
2,2,3,4,3,2,2,2,2,2,3,3,3,4,H25,Pre_Intervention
4,2,4,3,3,3,3,3,3,3,3,3,3,3,H28,Post_Intervention
3,3,3,3,3,3,3,3,3,3,3,3,3,3,H28,Pre_Intervention
4,3,4,4,2,4,3,3,4,2,4,4,2,4,H31,Post_Intervention
4,2,4,5,2,4,3,3,4,3,4,4,2,4,H31,Pre_Intervention
4,2,4,4,4,4,3,3,4,2,2,4,2,4,H32,Post_Intervention
4,3,4,4,3,3,3,3,4,3,4,4,3,3,H32,Pre_Intervention
3,2,3,4,4,5,2,2,3,3,3,3,2,2,H33,Post_Intervention
5,4,4,4,3,3,4,4,3,3,2,3,3,3,H33,Pre_Intervention
